sample_id,image_id,question,ground_truth,question_type_structural,question_type_semantic
17726909,2349045,Is the man to the right or to the left of the people that are wearing glasses?,left,choose,rel
15776149,2319436,What color is the fruit to the left of the bowl?,yellow,query,attr
18437330,2380135,What is sitting in the bowl?,sauce,query,rel
101047999,2329006,Are there chairs to the right of the blanket in the top of the photo?,no,verify,rel
07740534,2318174,Is there any racket or fence in the picture?,yes,logical,obj
02639501,2358464,Are there both a knife and a potato in the photograph?,yes,logical,obj
18100369,2395206,Are there bells or helmets in the scene?,no,logical,obj
12974671,2404130,What is on the table?,tray,query,rel
13273642,2347438,What kind of furniture is above the trunk?,bed,query,rel
11211902,2394152,Is the salad to the left or to the right of the food on the plate?,right,choose,rel
09488668,2401908,What is the device that is to the right of the chair at the table?,remote control,query,rel
111030897,2400651,Which side of the image is the boy on?,left,query,attr
041050837,2386051,What is the woman on the street wearing?,shirt,query,rel
15794361,2366610,Does the shirt have white color?,yes,verify,attr
0677800,2407766,What do both the floor and the wall have in common?,material,compare,attr
07245061,2406463,What item of furniture is wooden?,table,query,cat
161071057,2376032,Do you see dogs in the photo?,no,verify,obj
0760649,2350568,What is the woman on?,chair,query,rel
05473419,2339910,Which color is the plate?,blue,query,attr
04145595,2346486,Are there any shelves on the wall?,no,verify,rel
08728446,2362400,What is the woman wearing?,cap,query,rel
19110577,2376766,What is the man on?,bench,query,rel
0784551,2369561,Which side of the photo are the cars on?,right,query,attr
04792058,2326324,Is the color of the man shirt different than the umbrella?,no,compare,attr
1564748,2331126,Does the bowl to the right of the surfboard have black color and small size?,yes,logical,attr
10630915,2406643,Who is wearing a helmet?,skateboarder,query,rel
19379027,2399484,Is there any food or wine that is white?,yes,logical,obj
05867327,2358152,On which side of the picture are the figurines?,right,query,attr
14770772,2348905,What color does the beard have?,gray,query,attr
11705481,2344018,What's the bottle made of?,plastic,query,attr
14384714,2389376,What is the umpire wearing?,hat,query,rel
04229498,2397958,Are there white zebras or dogs?,yes,logical,obj
12456426,2318983,On which side of the image is the surfboard?,left,query,attr
19818113,2388404,Is there a train or a window in this image?,yes,logical,obj
03987139,2400828,What is the appliance to the left of the person in the middle?,refrigerator,query,rel
07358382,4888,What is the cooking utensil to the left of the chair that is sitting at the counter called?,pan,query,rel
13930214,2400117,Is the woman wearing jeans?,yes,verify,rel
161063494,2410862,What animal rides the animal to the left of the wine?,frog,query,rel
17773211,2320507,"What color is the animal's tail, white or black?",white,choose,attr
01235881,2362824,Is the nose pink?,yes,verify,attr
12140937,2359333,What are the headphones on?,sofa,query,rel
10857773,2360862,Are there both berries and peaches in the image?,no,logical,obj
14740694,2365515,Which item of furniture is made of leather?,couch,query,cat
06751549,2361523,"In which part of the picture is the rope, the top or the bottom?",bottom,choose,attr
0449386,2402403,What place is it?,hangar,query,global
12165541,2398481,Where are the scissors?,floor,query,rel
09334085,2348612,Is the man on the left side?,no,verify,attr
02996718,2318090,Who is wearing pants?,player,query,rel
01863049,2390571,Is the man to the right of the person that is standing on the side walk?,no,verify,rel
12241557,2368239,"On which side of the image is the teddy bear, the left or the right?",right,choose,attr
101001520,2339853,What is the vegetable to the left of the olives that look black?,broccoli,query,rel
04248774,2380656,Are there both a fence and a bench in this photograph?,yes,logical,obj
17250321,2411357,What appliance is on?,oven,query,cat
091044151,2376493,What kind of animal is in front of the trees?,bears,query,rel
05491597,2374257,What is the color of the vehicle on the street?,dark,query,attr
12741461,2378292,Which color is the balloon that is to the right of the other balloon?,pink,query,attr
09816097,2346213,What is on the roof?,chimney,query,rel
02411963,2392595,"In which part of the image is the camera, the bottom or the top?",bottom,choose,attr
18348364,2339244,What is the piece of furniture to the left of the coffee table the tray is on top of?,sofa,query,rel
17528428,2410790,Does the chair on the side walk look pink and plastic?,no,logical,attr
04891899,2405260,What is standing behind the girl?,tree,query,rel
02447446,2339777,Who is in the water?,man,query,rel
16529302,2414784,Is the tub the same color as the cat?,no,compare,attr
021061347,2403478,What is the color of the desk?,black,query,attr
11493619,2363920,Is the vehicle tan and large?,no,logical,attr
01956330,2375919,What are the people in front of the forest wearing?,jeans,query,rel
1697991,2366066,Are there any skiers to the left of the people that are skiing?,no,verify,rel
19910432,2318963,What food is to the right of the woman?,pasta,query,rel
06974680,2379978,What do you think is on the shelf above the sink?,glass,query,rel
1370125,2342793,What is located on top of the cabinet by the desk?,printer,query,rel
16464458,2386341,What is the black item of furniture called?,shelf,query,cat
00212582,2370908,Of what color is the vehicle the pole is on the side of?,green,query,attr
1796765,2393919,Do you see any maroon ties?,yes,verify,obj
13628221,2342004,Who is in front of the wall?,man,query,rel
19326711,2341622,What kind of animal is large?,bird,query,cat
07894112,2379906,The boy is where?,ground,query,rel
14974783,2338671,Is the orange to the right of an apple?,no,verify,rel
18655716,2328701,What color does the backpack on the right have?,green,query,attr
07859572,2387426,What vehicle has the same color as the large window?,truck,query,rel
17206229,2413307,Is the girl that is not sad wearing boots?,no,verify,rel
17362266,2322487,Is the field covered with weeds?,yes,verify,rel
02532956,2407291,What animal is standing in the dirt?,zebra,query,rel
16844708,2405085,What is the fence in front of?,pole,query,rel
08332189,498265,Is the woman in the bottom part?,yes,verify,attr
01588791,2387080,On which side of the photo is the cardboard box?,left,query,attr
03236221,2411222,Where is the boy?,floor,query,rel
14445965,2386698,Is the bowl to the left or to the right of the mug?,right,choose,rel
11546518,2380112,What is on the vehicle that is in the snow?,ladder,query,rel
04119802,2366036,Is the black bag on the right side?,no,verify,attr
03431,2390911,How big is the giraffe near the other giraffes?,large,query,attr
04813497,2373574,Is the orange on a plate?,yes,verify,rel
0450776,2402409,What is leaning against the bench?,bicycle,query,rel
13629300,2324171,What is the seat on?,bench,query,rel
13663536,2333016,Which kind of furniture is the keyboard on?,desk,query,rel
03539432,2342950,What is the color of the socks the boy is wearing?,red,query,attr
18671112,2405414,What's located on top of the man?,jacket,query,rel
18492629,2371601,Who is in front of the dark trees?,man,query,rel
14279279,2321894,What's the pipe on?,motorcycle,query,rel
15340115,2325932,Who is wearing a jacket?,woman,query,rel
19904701,2368905,On which side is the chair?,left,query,attr
13515501,2397987,Is the large device on the left?,yes,verify,attr
05310359,2414935,Who is sitting?,man,query,cat
041029551,2320665,What is full of water?,fountain,query,rel
02207917,2393892,Who is holding the teddy bear?,man,query,rel
03510424,2373925,What is the vegetable that is to the left of the bag in the top of the photo?,broccoli,query,rel
02921844,2383506,What is the appliance to the right of him?,microwave oven,query,rel
00600980,2396488,Who is riding on a skateboard?,skater,query,rel
07202148,2387572,What is on the traffic signal?,chain,query,rel
1979414,2376384,Do you see both mirrors and towels?,yes,logical,obj
11214457,2412272,On which side of the picture is the woman?,right,query,attr
05891651,2384647,Is there a plate in this photo?,yes,verify,obj
15427529,2363939,Is this pillow on a bed?,no,verify,rel
00736977,2338149,On which side is the bear?,left,query,attr
0292525,2408312,What is on the post?,wire,query,rel
1173487,2354443,Where is that tree?,beach,query,rel
01650140,2384793,Is the book in front of a remote control?,no,verify,rel
04986662,2380178,What is the vehicle in the grass called?,bus,query,rel
10338521,2344193,What is in front of the horse?,gate,query,rel
19757872,2385218,Is the person to the left of the woman carrying an umbrella?,no,verify,rel
00289920,2395760,Does the shirt look brown?,yes,verify,attr
16710724,1074,What is the bike in front of?,steps,query,rel
15225219,2330610,Is the woman wearing a skirt?,no,verify,rel
021010741,498188,"Which color is the knife, red or black?",red,choose,attr
19358398,1159380,Is the lamp on the left side?,yes,verify,attr
13339719,2356833,Does the person that is to the right of the console appear to be driving or playing?,playing,choose,attr
00889726,2403039,"In which part of the photo is the sheep, the bottom or the top?",top,choose,attr
12639700,2323162,How large are the towers?,large,query,attr
16275129,2380483,Do you see any speaker there?,yes,verify,obj
17297249,2398522,What is in front of the bushes?,bench,query,rel
13178406,2370684,What kind of sign do you think is above the snow on the ground?,street sign,query,rel
1925086,2366862,Does the animal next to the bath tub look large?,no,verify,attr
06459412,2379466,"What are these guys at, a table or a sofa?",table,choose,rel
05973184,2316019,What food is it?,biscuit,query,cat
18920464,2415396,Are the pear to the left of the bowl and the banana to the left of the bowl both tiny?,yes,logical,obj
11207448,2316747,What kind of furniture is the monitor on?,shelf,query,rel
06615020,2406370,Who wears a mask?,biker,query,rel
06898905,2396386,Do you see any refrigerators or blenders?,yes,logical,obj
09161921,2416885,Are there helmets or snowboards?,yes,logical,obj
06651580,2370705,What is the color of the book?,black,query,attr
1942684,2371012,Do the bull and the sky have a different colors?,yes,compare,attr
11311050,713230,Is there a bench or a star that is brown?,yes,logical,obj
19773949,2372613,Which kind of vegetable is to the right of the spinach?,carrot,query,rel
18583209,2362883,Who is wearing jeans?,man,query,rel
13357495,2403546,Who is holding the bat?,girl,query,rel
001058312,2380873,Who is wearing the glasses?,man,query,rel
11589201,2329846,On which side of the picture is the blue bag?,left,query,attr
06889758,2381580,Does the hair look brown?,no,verify,attr
10926949,2365501,What is the fruit that is to the right of the pink candle?,grape,query,rel
13502157,2405230,What clothing item is long?,jacket,query,cat
01584117,2399600,What is in front of the pedestrians?,taxi,query,rel
18704247,498197,What is the animal that is to the left of the monitor?,bear,query,rel
18997484,2317262,Is the brown fence in front of the animal that is not short?,no,verify,rel
01284498,2362041,What is the man to the right of the bus riding?,bike,query,rel
01715357,498025,Where is the man sitting?,table,query,rel
09745246,2382208,Which side is the clock on?,left,query,attr
10561393,2354914,Is the bag to the right or to the left of the person who is holding the umbrella?,right,choose,rel
0467034,2360080,What is the mirror on?,bike,query,rel
01259702,2347236,What color is the helmet that the man is wearing?,black,query,attr
19737324,2386651,What's the bag on?,coffee table,query,rel
161020577,2386644,What kind of aircraft is flying?,airplane,query,cat
081032949,2393295,The vehicle the poster is inside of is what color?,gray,query,attr
07508793,2338167,What is that lock on?,window,query,rel
07300998,2352537,What is on the light pole?,street sign,query,rel
0464509,2383984,Is the white vase to the left or to the right of the sofa?,right,choose,rel
06895886,2385910,Does the sheep that is not young appear to be lying?,no,verify,attr
00331039,2315740,What is the color of the cow to the right of the other cows?,black,query,attr
14796793,2409083,Is the knife to the right of a bread?,yes,verify,rel
08625104,2342416,What kind of fast food is cooked?,hot dog,query,cat
18230133,2402334,Which color is the shirt that the person is wearing?,red,query,attr
05661687,2353117,Are the people on the road holding the bag on the right?,yes,verify,rel
13908048,2371222,Which side of the picture are the glasses on?,left,query,attr
01300656,4900,What kind of furniture is to the left of the blue chair?,drawers,query,rel
02914081,2404849,Is there either a fork or a pizza in this image?,yes,logical,obj
03376045,2363072,What is the sticker on?,toilet,query,rel
10737505,2388975,Which kind of vegetable is on the sandwich?,avocado,query,rel
14996062,2353347,Are there both motorcycles and helmets in the picture?,no,logical,obj
00204122,2400683,Which kind of vehicle is to the left of the bag?,car,query,rel
12745124,2399842,Is it an indoors or outdoors scene?,indoors,choose,global
0045244,2365281,On which side is the pillow?,left,query,attr
12334288,2320242,What device is to the left of the cabinet?,controller,query,rel
098145,2331481,Where is the elephant to the left of the traffic light walking?,road,query,rel
16351287,2369489,Is the television on a dresser?,no,verify,rel
06314056,150356,Are there any people on the motorcycle?,yes,verify,rel
06587843,28,Is the white couch to the right of the colorful pillows?,no,verify,rel
11411531,2374220,Does the device to the right of the umbrella look black?,no,verify,attr
1583422,2336635,Where is the woman standing?,hallway,query,rel
1260165,2354042,Are there any remote controls in this image?,yes,verify,obj
04174158,2411136,On which side of the photo is the little doll?,left,query,attr
10767860,2412014,Is it an indoors scene?,yes,verify,global
00101458,2356112,Where does the man ski?,hills,query,rel
01656731,2334942,Do you see a keyboard to the left of the person that is wearing a shirt?,yes,verify,rel
121037827,2366017,What animal is to the right of the dog?,sheep,query,rel
1693927,2360374,What's the remote control on?,desk,query,rel
16448765,2345013,Is the man to the right or to the left of the chair on the left?,right,choose,rel
04197453,2390677,On which side is the oven?,right,query,attr
051042704,2367808,Is the flower red?,no,verify,attr
01274973,2388009,What kind of drink is pictured?,milk,query,cat
10970525,2347454,What's in the sink?,ball,query,rel
18368230,2388030,What is the color of the arrow on the street sign?,white,query,attr
03715855,2387346,Is the bench on the right side of the picture?,no,verify,attr
08134901,2410808,What is on the appliance to the right of the container?,chicken,query,rel
18546918,2366467,What is the shape of the plate on the right?,octagonal,query,attr
00159172,2359433,What are the fruits to the right of the brown cake?,strawberries,query,rel
03633085,2316480,What device is it?,remote control,query,cat
04806476,2383167,Are there both a plate and a table in the image?,no,logical,obj
1928517,2365742,Are there either any refrigerators or bags that are red?,yes,logical,obj
0260575,2320176,Are there either small cars or words?,yes,logical,obj
0416216,2375361,Are there any forks on the white object on top of the table?,no,verify,rel
07542804,2345259,Is the drawer to the right of a man?,no,verify,rel
04251893,2373119,Are there bowls to the right of the food in the top of the photo?,no,verify,rel
1335954,2329033,Is the man to the left or to the right of the people in the middle of the picture?,right,choose,rel
13539044,1159827,"What material is the floor, hardwood or stone?",hardwood,choose,attr
15729910,4120,Is the bridge brown or green?,brown,choose,attr
08416146,2374729,Which side of the picture is the couch on?,right,query,attr
18961291,2390742,What color do you think the adult sheep that is eating grass is?,black,query,attr
01601562,2408642,Is the purple towel to the left of a toilet?,no,verify,rel
16791638,2359040,Is the tap on the right side?,no,verify,attr
1887740,2414496,What place is shown?,pavement,query,global
08410054,2392742,Are the people of the boat to the left or to the right of the red flag on the boat?,right,choose,rel
05748173,2321317,Are there both a plate and a donut in this image?,no,logical,obj
00352807,2385456,What is the device to the right of the black device?,television,query,rel
12774477,2342152,What animal is in front of the trees on the right side?,giraffe,query,rel
18107049,2411038,Is the brown chair to the left or to the right of the ottoman that looks black?,left,choose,rel
18470134,2389268,What is the name of the food to the left of the tomato that is underneath the pickles?,hamburger,query,rel
08174094,2320720,Does the scooter look red?,no,verify,attr
0866562,2406152,What is the pillow lying on?,bed,query,rel
01190702,2387163,What color are the clouds?,gray,query,attr
11207726,2316747,Is the computer to the left of a dresser?,yes,verify,rel
11366797,2406331,What is that woman doing?,riding,query,attr
08134794,2410808,Are there any cups on the countertop?,no,verify,rel
10980191,2345081,What do you think is in the pot?,tree,query,rel
12582202,2353890,Is the wood cabinet to the right or to the left of the couch in the image?,right,choose,rel
12246928,2375184,What's the cat on?,rug,query,rel
04869296,2383983,Is there a flag or a kite that is not purple?,no,logical,obj
06144103,2390488,Are there any laptops?,no,verify,obj
06674998,2365213,What's on the ceiling?,cord,query,rel
15880558,2356643,How clean are the windows on the side of the train?,tinted,query,attr
131009649,2326436,"Which is less healthy, the cookies or the tomato?",cookies,compare,attr
19743171,1592305,Do you see any cones on the road the man is crossing?,no,verify,rel
00215401,2402117,Is there a chair or a plate in this photo?,yes,logical,obj
12105812,1159745,What is the bat made of?,metal,query,attr
05141840,2414484,Does the sky look cloudy and blue?,no,logical,attr
14470764,713118,Who is wearing the tie?,guy,query,rel
0623848,2319837,What color is the shoe?,gray,query,attr
03600057,2414326,Is the computer in the bottom of the picture?,yes,verify,attr
11804543,2392752,What color is the ball?,white,query,attr
18983693,2357784,What is on the statue?,jacket,query,rel
06319036,2332903,What color is the sweater?,gray,query,attr
11327974,2350666,Which sign is white?,street sign,query,cat
03513850,2410656,Is the girl wearing shorts?,no,verify,rel
06347045,2395361,What kind of vegetable is to the right of the tomato?,broccoli,query,rel
15127182,2390938,What fruits are to the left of the strawberry on the plate?,cherries,query,rel
00684249,2410733,Are there any cabinets under the counter the plate is on?,no,verify,rel
05444127,2348601,Do you see curtains to the right of the person who is looking at the laptop computer?,no,verify,rel
12640880,2358626,Does he wear a cap?,yes,verify,rel
17560384,2359451,Is the train to the right or to the left of the bag the man is carrying?,right,choose,rel
08173549,2320720,Do you see people to the left of the motorcycle the fire is in front of?,yes,verify,rel
01530411,4426,What color is the vehicle to the right of the car?,red,query,attr
09894390,2335736,Is it outdoors?,no,verify,global
03681747,2412962,Is the shirt different in color than the tennis racket?,yes,compare,attr
04803484,2374759,Who is wearing a helmet?,man,query,rel
16167582,2320104,On which side is the man?,left,query,attr
04903562,2386929,What's located on top of the table?,phone,query,rel
101008884,2373429,Are there bikes or brooms?,no,logical,obj
11925963,2318297,What color does the uniform have?,red,query,attr
15519571,2400406,Who is in the sky?,man,query,rel
15785278,2379924,Who do you think is in front of the person that wears glasses?,child,query,rel
0038509,2355481,Are there both trains and doors in the picture?,yes,logical,obj
10110879,2389829,What is the man that is standing doing?,skateboarding,query,attr
01698074,2332249,The shirt the lady is wearing has which color?,blue,query,attr
07540985,2389885,Which place is it?,restaurant,query,global
09407119,2324396,Does the pole have a different color than the hat?,yes,compare,attr
0660247,2386438,The bag that to the right of the girl lies on what?,rug,query,rel
