sample_id,method,baseline_correct,corrected_correct,flip_to_correct,intervened,used_fallback,flip_to_wrong,image_id,question,ground_truth,question_type_structural,question_type_semantic,dominant_contradicted_type,has_contradicted_object_existence,has_contradicted_attribute,has_contradicted_spatial,has_contradicted_counting,has_contradicted_action,has_contradicted_text_ocr
10259915,E1,1,1,0,1,0,0,2368742,Does the sidewalk seem to be red and dirty?,no,logical,attr,object_existence,1,0,0,0,0,0
13515619,E1,1,0,0,1,0,1,2397987,What kind of furniture is to the left of the rug?,ottoman,query,rel,none,0,0,0,0,0,0
17560215,E1,0,1,1,1,0,0,2359451,Who wears shoes?,man,query,rel,none,0,0,0,0,0,0
1972311,E1,1,1,0,1,0,0,2387777,Is this a lamb or a cow?,lamb,choose,cat,object_existence,1,0,0,0,0,0
12741575,E1,1,1,0,1,0,0,2378292,Are there any salt shakers or batteries?,no,logical,obj,none,0,0,0,0,0,0
11193931,E1,1,1,0,1,0,0,2401803,Are the remote and the floor made of the same material?,no,compare,attr,object_existence,1,0,0,0,0,0
17949859,E1,1,1,0,1,0,0,2362562,Is there any lettuce to the right of the carrot in the center of the image?,yes,verify,rel,attribute,0,1,0,0,0,0
14669854,E1,1,1,0,1,0,0,2337103,Are there controllers or beds?,no,logical,obj,object_existence,1,0,0,0,0,0
133485,E1,1,1,0,1,0,0,2409219,Are there any chairs to the right of the young child?,no,verify,rel,spatial,0,0,1,0,0,0
19954280,E1,1,1,0,1,0,0,2406002,What vegetables are on the plate?,tomatoes,query,rel,none,0,0,0,0,0,0
18229012,E1,0,1,1,1,0,0,2402333,What is located on top of the white table?,lamp,query,rel,none,0,0,0,0,0,0
17459063,E1,1,1,0,1,0,0,2413541,Which place is it?,airport,query,global,object_existence,1,0,0,0,0,0
13136918,E1,1,1,0,1,0,0,2406090,Is the sky both blue and overcast?,no,logical,attr,object_existence,1,0,0,0,0,0
17853007,E1,1,1,0,1,0,0,2337616,Is there any horse or sheep that is not gray?,no,logical,obj,none,0,0,0,0,0,0
10403875,E1,1,1,0,1,0,0,2327830,On what kind of furniture is the cat?,table,query,rel,none,0,0,0,0,0,0
16488440,E1,0,1,1,1,0,0,2321052,Which kind of appliance is to the left of the lamp?,air conditioner,query,rel,none,0,0,0,0,0,0
19494904,E1,0,1,1,1,0,0,2365760,Are there both tables and couches in the picture?,yes,logical,obj,none,0,0,0,0,0,0
1864177,E1,1,1,0,1,0,0,2322984,"In which part is the person, the top or the bottom?",bottom,choose,attr,object_existence,1,0,0,0,0,0
14275115,E1,0,1,1,1,0,0,2398835,Does the chair have a different color than the headband?,yes,compare,attr,none,0,0,0,0,0,0
14816347,E1,1,1,0,1,0,0,2363629,Is there any bear in the image?,yes,verify,obj,none,0,0,0,0,0,0
14381909,E1,1,1,0,1,0,0,2403590,Is the woman to the right or to the left of the glasses that are to the left of the train?,left,choose,rel,none,0,0,0,0,0,0
13764117,E1,1,1,0,1,0,0,2401635,Are there any teddy bears on top of the bed?,no,verify,rel,none,0,0,0,0,0,0
161036696,E1,1,1,0,1,0,0,2368963,Is the patterned curtain behind the dresser open and long?,no,logical,attr,none,0,0,0,0,0,0
1366354,E1,1,1,0,1,0,0,2349328,How is the weather?,sunny,query,global,object_existence,1,0,0,0,0,0
16811715,E1,1,1,0,1,0,0,2378978,Is the sky clear or foggy?,clear,choose,attr,object_existence,1,0,0,0,0,0
10882926,E1,1,0,0,1,0,1,2385070,What do the end table and the frame have in common?,material,compare,attr,none,0,0,0,0,0,0
14124503,E1,1,1,0,1,0,0,1592427,Are there either trains or trailers in this scene?,no,logical,obj,none,0,0,0,0,0,0
11298977,E1,1,1,0,1,0,0,2341585,Is the woman in front of the people using a computer?,no,verify,rel,none,0,0,0,0,0,0
15242425,E1,0,1,1,1,0,0,2387376,Of which color is the sky?,dark,query,attr,object_existence,1,0,0,0,0,0
12171112,E1,1,1,0,1,0,0,2367977,"What is this, an oven or a dishwasher?",dishwasher,choose,cat,object_existence,1,0,0,0,0,0
131059645,E1,1,1,0,1,0,0,2399053,What is the man on?,bench,query,rel,none,0,0,0,0,0,0
14524305,E1,1,1,0,1,0,0,2407279,What is the brown bear balancing on?,log,query,rel,none,0,0,0,0,0,0
13430682,E1,1,1,0,1,0,0,2413411,Do you see onions in this photograph?,no,verify,obj,object_existence,1,0,0,0,0,0
11139796,E1,1,1,0,1,0,0,2344439,Is the bicycle to the right or to the left of the person that looks blonde?,right,choose,rel,object_existence,1,0,0,0,0,0
141036087,E1,1,1,0,1,0,0,2392869,What is the person holding?,surfboard,query,rel,object_existence,1,0,0,0,0,0
171034612,E1,1,1,0,1,0,0,2344782,Are there tablecloths or bowls?,no,logical,obj,none,0,0,0,0,0,0
11119089,E1,1,1,0,1,0,0,2404154,Is the sauce on top of a pizza slice?,yes,verify,rel,object_existence,1,0,0,0,0,0
17667821,E1,0,1,1,1,0,0,2393949,Who is holding the device that looks gray and silver?,girl,query,rel,object_existence,1,0,0,0,0,0
1573911,E1,1,1,0,1,0,0,2384811,Does the man's hair appear to be black or light brown?,black,choose,attr,object_existence,1,0,0,0,0,0
10587792,E1,1,1,0,1,0,0,2335112,What is the bottle on?,counter,query,rel,none,0,0,0,0,0,0
13363918,E1,1,1,0,1,0,0,2337535,Are there both steam and smoke?,yes,logical,obj,none,0,0,0,0,0,0
11354848,E1,1,1,0,1,0,0,2382462,Does the jacket have brown color?,yes,verify,attr,none,0,0,0,0,0,0
11385575,E1,1,1,0,1,0,0,2326388,What animal is this child on?,horse,query,rel,object_existence,1,0,0,0,0,0
16742353,E1,1,1,0,1,0,0,2378984,Are there both chairs and windows in the image?,no,logical,obj,none,0,0,0,0,0,0
15425887,E1,1,1,0,1,0,0,2363931,Which side of the photo is the kid on?,left,query,attr,none,0,0,0,0,0,0
10660951,E1,1,1,0,1,0,0,2366958,Do you see white plates or mugs?,no,logical,obj,object_existence,1,0,0,0,0,0
15586374,E1,1,1,0,1,0,0,2352617,What is located on top of the bed?,pillow,query,rel,object_existence,1,0,0,0,0,0
13425365,E1,1,1,0,1,0,0,2412682,On which side is the bicycle?,right,query,attr,none,0,0,0,0,0,0
13226655,E1,0,1,1,1,0,0,2367978,On which side of the image is the yellow vegetable?,left,query,attr,object_existence,1,0,0,0,0,0
19693907,E1,0,0,0,1,0,0,2382366,What's the man holding?,fish,query,rel,none,0,0,0,0,0,0
10611191,E1,1,1,0,1,0,0,2368747,Is it outdoors?,yes,verify,global,none,0,0,0,0,0,0
1645076,E1,1,1,0,1,0,0,2387991,Are there any blankets?,yes,verify,obj,object_existence,1,0,0,0,0,0
15978167,E1,0,1,1,1,0,0,2365868,What's the porch made of?,brick,query,attr,object_existence,1,0,0,0,0,0
13497067,E1,1,1,0,1,0,0,2378836,What is the pepper shaker that is to the left of the mug made of?,plastic,query,attr,none,0,0,0,0,0,0
18782434,E1,0,0,0,1,0,0,2356933,What do the mug and the tablecloth have in common?,color,compare,attr,none,0,0,0,0,0,0
11524226,E1,1,1,0,1,0,0,2415972,Are there either juice boxes or toothbrushes in the scene?,no,logical,obj,none,0,0,0,0,0,0
12772816,E1,0,1,1,1,0,0,2342151,What is the appliance in the kitchen?,refrigerator,query,rel,none,0,0,0,0,0,0
16661127,E1,1,1,0,1,0,0,2336505,Is the door tan or is it maroon?,maroon,choose,attr,none,0,0,0,0,0,0
10742293,E1,1,1,0,1,0,0,2369432,On which side of the picture is the boat?,right,query,attr,none,0,0,0,0,0,0
14202781,E1,1,1,0,1,0,0,2345598,What is the piece of clothing that is black called?,jacket,query,cat,none,0,0,0,0,0,0
1886024,E1,0,1,1,1,0,0,2410380,Do you see any grass there that is brown?,yes,verify,obj,none,0,0,0,0,0,0
181000995,E1,1,1,0,1,0,0,4633,What item of furniture is to the right of the fruit?,chair,query,rel,none,0,0,0,0,0,0
1167999,E1,0,1,1,1,0,0,1575,Which place is it?,river,query,global,none,0,0,0,0,0,0
16350496,E1,1,1,0,1,0,0,2365644,What clothing item is long sleeved?,jacket,query,cat,none,0,0,0,0,0,0
18484260,E1,1,1,0,1,0,0,2404247,Is there either a triangular pizza or sandwich in this photo?,no,logical,obj,object_existence,1,0,0,0,0,0
16535089,E1,1,1,0,1,0,0,2407870,Does the motorbike on the road look black?,no,verify,attr,none,0,0,0,0,0,0
14389529,E1,1,1,0,1,0,0,2410973,Are there either curtains or towels that are white?,yes,logical,obj,none,0,0,0,0,0,0
13726900,E1,0,0,0,1,0,0,2375648,Are there either cabinets or towels in this scene?,yes,logical,obj,none,0,0,0,0,0,0
19992444,E1,1,1,0,1,0,0,2376382,Are there any clocks to the right of the jar that is to the right of the box?,yes,verify,rel,none,0,0,0,0,0,0
11908666,E1,0,0,0,1,0,0,2357279,What color is the towel on the right side of the photo?,brown,query,attr,none,0,0,0,0,0,0
10123004,E1,1,1,0,1,0,0,2332332,"In which part is the flag, the top or the bottom?",top,choose,attr,none,0,0,0,0,0,0
14144547,E1,0,0,0,1,0,0,2324283,What kind of vehicle is it?,car,query,cat,object_existence,1,0,0,0,0,0
19501031,E1,0,1,1,1,0,0,2394408,Are there both a door and window in the image?,no,logical,obj,none,0,0,0,0,0,0
17746156,E1,1,1,0,1,0,0,2368062,What color is the shirt that the boy is in?,white,query,attr,none,0,0,0,0,0,0
11196211,E1,0,0,0,1,0,0,2399024,What are the men to the left of the horse wearing?,cowboy hat,query,rel,object_existence,1,0,0,0,0,0
15641002,E1,1,0,0,1,0,1,2334745,Is there food to the right of the food that is lying on top of the plate?,yes,verify,rel,spatial,0,0,1,0,0,0
10230544,E1,1,1,0,1,0,0,2416765,Do you see both a door and a window?,yes,logical,obj,none,0,0,0,0,0,0
11499909,E1,1,1,0,1,0,0,2333498,Do you see both cars and umbrellas there?,yes,logical,obj,none,0,0,0,0,0,0
13368717,E1,1,1,0,1,0,0,2411178,Is the poster above the books?,yes,verify,rel,none,0,0,0,0,0,0
12565565,E1,1,1,0,1,0,0,2378833,Are there boats in the image?,no,verify,obj,none,0,0,0,0,0,0
19695032,E1,0,0,0,1,0,0,2343965,Which place is it?,lake,query,global,object_existence,1,0,0,0,0,0
13773559,E1,1,0,0,1,0,1,2397981,Do you see cars or clocks there?,yes,logical,obj,none,0,0,0,0,0,0
10599873,E1,1,0,0,1,0,1,2385133,How is the vehicle that is parked by the sidewalk called?,bus,query,rel,object_existence,1,0,0,0,0,0
11183569,E1,1,1,0,1,0,0,2365049,What is the purse on?,bench,query,rel,none,0,0,0,0,0,0
11985230,E1,1,1,0,1,0,0,2386099,What is on the table?,glass,query,rel,object_existence,1,0,0,0,0,0
11611800,E1,0,0,0,1,0,0,2372163,What is the table in front of?,clock,query,rel,none,0,0,0,0,0,0
17387034,E1,0,0,0,1,0,0,2357841,What kind of sign is on the post?,street sign,query,rel,none,0,0,0,0,0,0
15135493,E1,1,1,0,1,0,0,2410392,What does the man read?,paper,query,rel,none,0,0,0,0,0,0
17726909,E1,0,0,0,1,0,0,2349045,Is the man to the right or to the left of the people that are wearing glasses?,left,choose,rel,none,0,0,0,0,0,0
15776149,E1,1,1,0,1,0,0,2319436,What color is the fruit to the left of the bowl?,yellow,query,attr,object_existence,1,0,0,0,0,0
18437330,E1,0,1,1,1,0,0,2380135,What is sitting in the bowl?,sauce,query,rel,object_existence,1,0,0,0,0,0
101047999,E1,1,1,0,1,0,0,2329006,Are there chairs to the right of the blanket in the top of the photo?,no,verify,rel,none,0,0,0,0,0,0
18100369,E1,1,1,0,1,0,0,2395206,Are there bells or helmets in the scene?,no,logical,obj,none,0,0,0,0,0,0
12974671,E1,1,1,0,1,0,0,2404130,What is on the table?,tray,query,rel,none,0,0,0,0,0,0
13273642,E1,1,1,0,1,0,0,2347438,What kind of furniture is above the trunk?,bed,query,rel,none,0,0,0,0,0,0
11211902,E1,0,0,0,1,0,0,2394152,Is the salad to the left or to the right of the food on the plate?,right,choose,rel,none,0,0,0,0,0,0
111030897,E1,1,1,0,1,0,0,2400651,Which side of the image is the boy on?,left,query,attr,none,0,0,0,0,0,0
15794361,E1,1,1,0,1,0,0,2366610,Does the shirt have white color?,yes,verify,attr,none,0,0,0,0,0,0
161071057,E1,1,1,0,1,0,0,2376032,Do you see dogs in the photo?,no,verify,obj,object_existence,1,0,0,0,0,0
19110577,E1,1,1,0,1,0,0,2376766,What is the man on?,bench,query,rel,object_existence,1,0,0,0,0,0
1564748,E1,0,1,1,1,0,0,2331126,Does the bowl to the right of the surfboard have black color and small size?,yes,logical,attr,none,0,0,0,0,0,0
10630915,E1,0,0,0,1,0,0,2406643,Who is wearing a helmet?,skateboarder,query,rel,none,0,0,0,0,0,0
19379027,E1,1,1,0,1,0,0,2399484,Is there any food or wine that is white?,yes,logical,obj,none,0,0,0,0,0,0
14770772,E1,1,1,0,1,0,0,2348905,What color does the beard have?,gray,query,attr,object_existence,1,0,0,0,0,0
11705481,E1,1,1,0,1,0,0,2344018,What's the bottle made of?,plastic,query,attr,none,0,0,0,0,0,0
14384714,E1,0,0,0,1,0,0,2389376,What is the umpire wearing?,hat,query,rel,none,0,0,0,0,0,0
12456426,E1,1,1,0,1,0,0,2318983,On which side of the image is the surfboard?,left,query,attr,none,0,0,0,0,0,0
19818113,E1,1,0,0,1,0,1,2388404,Is there a train or a window in this image?,yes,logical,obj,none,0,0,0,0,0,0
13930214,E1,1,1,0,1,0,0,2400117,Is the woman wearing jeans?,yes,verify,rel,object_existence,1,0,0,0,0,0
161063494,E1,1,1,0,1,0,0,2410862,What animal rides the animal to the left of the wine?,frog,query,rel,none,0,0,0,0,0,0
17773211,E1,0,1,1,1,0,0,2320507,"What color is the animal's tail, white or black?",white,choose,attr,none,0,0,0,0,0,0
12140937,E1,0,1,1,1,0,0,2359333,What are the headphones on?,sofa,query,rel,none,0,0,0,0,0,0
10857773,E1,1,1,0,1,0,0,2360862,Are there both berries and peaches in the image?,no,logical,obj,attribute,0,1,0,0,0,0
14740694,E1,0,1,1,1,0,0,2365515,Which item of furniture is made of leather?,couch,query,cat,none,0,0,0,0,0,0
12165541,E1,0,1,1,1,0,0,2398481,Where are the scissors?,floor,query,rel,none,0,0,0,0,0,0
12241557,E1,0,0,0,1,0,0,2368239,"On which side of the image is the teddy bear, the left or the right?",right,choose,attr,none,0,0,0,0,0,0
101001520,E1,1,1,0,1,0,0,2339853,What is the vegetable to the left of the olives that look black?,broccoli,query,rel,none,0,0,0,0,0,0
17250321,E1,1,1,0,1,0,0,2411357,What appliance is on?,oven,query,cat,none,0,0,0,0,0,0
12741461,E1,0,0,0,1,0,0,2378292,Which color is the balloon that is to the right of the other balloon?,pink,query,attr,none,0,0,0,0,0,0
18348364,E1,0,1,1,1,0,0,2339244,What is the piece of furniture to the left of the coffee table the tray is on top of?,sofa,query,rel,spatial,0,0,1,0,0,0
17528428,E1,0,0,0,1,0,0,2410790,Does the chair on the side walk look pink and plastic?,no,logical,attr,none,0,0,0,0,0,0
16529302,E1,1,1,0,1,0,0,2414784,Is the tub the same color as the cat?,no,compare,attr,object_existence,1,1,0,0,0,0
11493619,E1,0,0,0,1,0,0,2363920,Is the vehicle tan and large?,no,logical,attr,none,0,0,0,0,0,0
1697991,E1,1,0,0,1,0,1,2366066,Are there any skiers to the left of the people that are skiing?,no,verify,rel,object_existence,1,0,0,0,0,0
19910432,E1,1,1,0,1,0,0,2318963,What food is to the right of the woman?,pasta,query,rel,object_existence,1,0,0,0,0,0
1370125,E1,1,1,0,1,0,0,2342793,What is located on top of the cabinet by the desk?,printer,query,rel,object_existence,1,0,0,0,0,0
16464458,E1,0,0,0,1,0,0,2386341,What is the black item of furniture called?,shelf,query,cat,object_existence,1,0,0,0,0,0
1796765,E1,1,1,0,1,0,0,2393919,Do you see any maroon ties?,yes,verify,obj,none,0,0,0,0,0,0
13628221,E1,0,1,1,1,0,0,2342004,Who is in front of the wall?,man,query,rel,object_existence,1,0,0,0,0,0
19326711,E1,1,1,0,1,0,0,2341622,What kind of animal is large?,bird,query,cat,none,0,0,0,0,0,0
14974783,E1,1,1,0,1,0,0,2338671,Is the orange to the right of an apple?,no,verify,rel,none,0,0,0,0,0,0
18655716,E1,0,0,0,1,0,0,2328701,What color does the backpack on the right have?,green,query,attr,none,0,0,0,0,0,0
17206229,E1,1,1,0,1,0,0,2413307,Is the girl that is not sad wearing boots?,no,verify,rel,none,0,0,0,0,0,0
17362266,E1,0,1,1,1,0,0,2322487,Is the field covered with weeds?,yes,verify,rel,object_existence,1,0,0,0,0,0
16844708,E1,0,1,1,1,0,0,2405085,What is the fence in front of?,pole,query,rel,none,0,0,0,0,0,0
14445965,E1,0,1,1,1,0,0,2386698,Is the bowl to the left or to the right of the mug?,right,choose,rel,none,0,0,0,0,0,0
11546518,E1,0,0,0,1,0,0,2380112,What is on the vehicle that is in the snow?,ladder,query,rel,object_existence,1,0,0,0,0,0
13629300,E1,1,1,0,1,0,0,2324171,What is the seat on?,bench,query,rel,none,0,0,0,0,0,0
13663536,E1,1,1,0,1,0,0,2333016,Which kind of furniture is the keyboard on?,desk,query,rel,none,0,0,0,0,0,0
18671112,E1,0,1,1,1,0,0,2405414,What's located on top of the man?,jacket,query,rel,none,0,0,0,0,0,0
18492629,E1,1,1,0,1,0,0,2371601,Who is in front of the dark trees?,man,query,rel,none,0,0,0,0,0,0
14279279,E1,1,1,0,1,0,0,2321894,What's the pipe on?,motorcycle,query,rel,object_existence,1,0,0,0,0,0
15340115,E1,0,1,1,1,0,0,2325932,Who is wearing a jacket?,woman,query,rel,object_existence,1,0,0,0,0,0
19904701,E1,0,1,1,1,0,0,2368905,On which side is the chair?,left,query,attr,none,0,0,0,0,0,0
13515501,E1,1,1,0,1,0,0,2397987,Is the large device on the left?,yes,verify,attr,object_existence,1,0,0,0,0,0
1979414,E1,1,1,0,1,0,0,2376384,Do you see both mirrors and towels?,yes,logical,obj,none,0,0,0,0,0,0
11214457,E1,0,1,1,1,0,0,2412272,On which side of the picture is the woman?,right,query,attr,none,0,0,0,0,0,0
15427529,E1,1,1,0,1,0,0,2363939,Is this pillow on a bed?,no,verify,rel,object_existence,1,0,0,0,0,0
1173487,E1,0,1,1,1,0,0,2354443,Where is that tree?,beach,query,rel,object_existence,1,0,0,0,0,0
10338521,E1,0,0,0,1,0,0,2344193,What is in front of the horse?,gate,query,rel,none,0,0,0,0,0,0
19757872,E1,1,1,0,1,0,0,2385218,Is the person to the left of the woman carrying an umbrella?,no,verify,rel,spatial,0,0,1,0,0,0
16710724,E1,1,1,0,1,0,0,1074,What is the bike in front of?,steps,query,rel,none,0,0,0,0,0,0
15225219,E1,1,1,0,1,0,0,2330610,Is the woman wearing a skirt?,no,verify,rel,none,0,0,0,0,0,0
19358398,E1,1,1,0,1,0,0,1159380,Is the lamp on the left side?,yes,verify,attr,spatial,0,0,1,0,0,0
13339719,E1,1,1,0,1,0,0,2356833,Does the person that is to the right of the console appear to be driving or playing?,playing,choose,attr,object_existence,1,0,0,0,0,0
12639700,E1,1,1,0,1,0,0,2323162,How large are the towers?,large,query,attr,none,0,0,0,0,0,0
16275129,E1,0,1,1,1,0,0,2380483,Do you see any speaker there?,yes,verify,obj,object_existence,1,0,0,0,0,0
17297249,E1,1,1,0,1,0,0,2398522,What is in front of the bushes?,bench,query,rel,none,0,0,0,0,0,0
13178406,E1,0,0,0,1,0,0,2370684,What kind of sign do you think is above the snow on the ground?,street sign,query,rel,none,0,0,0,0,0,0
1925086,E1,1,1,0,1,0,0,2366862,Does the animal next to the bath tub look large?,no,verify,attr,object_existence,1,0,0,0,0,0
18920464,E1,1,1,0,1,0,0,2415396,Are the pear to the left of the bowl and the banana to the left of the bowl both tiny?,yes,logical,obj,none,0,0,0,0,0,0
11207448,E1,0,1,1,1,0,0,2316747,What kind of furniture is the monitor on?,shelf,query,rel,object_existence,1,0,0,0,0,0
1942684,E1,1,1,0,1,0,0,2371012,Do the bull and the sky have a different colors?,yes,compare,attr,none,0,0,0,0,0,0
11311050,E1,1,1,0,1,0,0,713230,Is there a bench or a star that is brown?,yes,logical,obj,none,0,0,0,0,0,0
19773949,E1,1,1,0,1,0,0,2372613,Which kind of vegetable is to the right of the spinach?,carrot,query,rel,none,0,0,0,0,0,0
18583209,E1,0,1,1,1,0,0,2362883,Who is wearing jeans?,man,query,rel,none,0,0,0,0,0,0
13357495,E1,0,1,1,1,0,0,2403546,Who is holding the bat?,girl,query,rel,none,0,0,0,0,0,0
11589201,E1,1,1,0,1,0,0,2329846,On which side of the picture is the blue bag?,left,query,attr,object_existence,1,0,0,0,0,0
10926949,E1,0,1,1,1,0,0,2365501,What is the fruit that is to the right of the pink candle?,grape,query,rel,object_existence,1,0,0,0,0,0
13502157,E1,0,1,1,1,0,0,2405230,What clothing item is long?,jacket,query,cat,none,0,0,0,0,0,0
18704247,E1,1,1,0,1,0,0,498197,What is the animal that is to the left of the monitor?,bear,query,rel,object_existence,1,0,0,0,0,0
18997484,E1,1,0,0,1,0,1,2317262,Is the brown fence in front of the animal that is not short?,no,verify,rel,spatial,0,0,1,0,0,0
10561393,E1,0,0,0,1,0,0,2354914,Is the bag to the right or to the left of the person who is holding the umbrella?,right,choose,rel,none,0,0,0,0,0,0
19737324,E1,0,0,0,1,0,0,2386651,What's the bag on?,coffee table,query,rel,none,0,0,0,0,0,0
161020577,E1,0,0,0,1,0,0,2386644,What kind of aircraft is flying?,airplane,query,cat,object_existence,1,0,0,0,0,0
14796793,E1,0,1,1,1,0,0,2409083,Is the knife to the right of a bread?,yes,verify,rel,none,0,0,0,0,0,0
18230133,E1,1,1,0,1,0,0,2402334,Which color is the shirt that the person is wearing?,red,query,attr,none,0,0,0,0,0,0
13908048,E1,1,0,0,1,0,1,2371222,Which side of the picture are the glasses on?,left,query,attr,none,0,0,0,0,0,0
10737505,E1,0,0,0,1,0,0,2388975,Which kind of vegetable is on the sandwich?,avocado,query,rel,none,0,0,0,0,0,0
14996062,E1,1,1,0,1,0,0,2353347,Are there both motorcycles and helmets in the picture?,no,logical,obj,counting,0,0,0,1,0,0
12745124,E1,1,1,0,1,0,0,2399842,Is it an indoors or outdoors scene?,indoors,choose,global,object_existence,1,0,0,0,0,0
12334288,E1,0,1,1,1,0,0,2320242,What device is to the left of the cabinet?,controller,query,rel,none,0,0,0,0,0,0
16351287,E1,1,1,0,1,0,0,2369489,Is the television on a dresser?,no,verify,rel,object_existence,1,0,0,0,0,0
11411531,E1,0,0,0,1,0,0,2374220,Does the device to the right of the umbrella look black?,no,verify,attr,none,0,0,0,0,0,0
1583422,E1,0,1,1,1,0,0,2336635,Where is the woman standing?,hallway,query,rel,none,0,0,0,0,0,0
1260165,E1,0,1,1,1,0,0,2354042,Are there any remote controls in this image?,yes,verify,obj,object_existence,1,0,0,0,0,0
10767860,E1,1,1,0,1,0,0,2412014,Is it an indoors scene?,yes,verify,global,object_existence,1,0,0,0,0,0
121037827,E1,1,1,0,1,0,0,2366017,What animal is to the right of the dog?,sheep,query,rel,none,0,0,0,0,0,0
1693927,E1,1,1,0,1,0,0,2360374,What's the remote control on?,desk,query,rel,none,0,0,0,0,0,0
16448765,E1,1,1,0,1,0,0,2345013,Is the man to the right or to the left of the chair on the left?,right,choose,rel,none,0,0,0,0,0,0
10970525,E1,1,1,0,1,0,0,2347454,What's in the sink?,ball,query,rel,none,0,0,0,0,0,0
18368230,E1,1,1,0,1,0,0,2388030,What is the color of the arrow on the street sign?,white,query,attr,none,0,0,0,0,0,0
18546918,E1,0,0,0,1,0,0,2366467,What is the shape of the plate on the right?,octagonal,query,attr,none,0,0,0,0,0,0
1928517,E1,1,1,0,1,0,0,2365742,Are there either any refrigerators or bags that are red?,yes,logical,obj,none,0,0,0,0,0,0
1335954,E1,1,1,0,1,0,0,2329033,Is the man to the left or to the right of the people in the middle of the picture?,right,choose,rel,none,0,0,0,0,0,0
13539044,E1,1,1,0,1,0,0,1159827,"What material is the floor, hardwood or stone?",hardwood,choose,attr,object_existence,1,0,0,0,0,0
15729910,E1,1,1,0,1,0,0,4120,Is the bridge brown or green?,brown,choose,attr,object_existence,1,0,0,0,0,0
18961291,E1,0,0,0,1,0,0,2390742,What color do you think the adult sheep that is eating grass is?,black,query,attr,none,0,0,0,0,0,0
16791638,E1,1,1,0,1,0,0,2359040,Is the tap on the right side?,no,verify,attr,object_existence,1,0,0,0,0,0
1887740,E1,0,0,0,1,0,0,2414496,What place is shown?,pavement,query,global,object_existence,1,0,0,0,0,0
12774477,E1,1,1,0,1,0,0,2342152,What animal is in front of the trees on the right side?,giraffe,query,rel,none,0,0,0,0,0,0
18107049,E1,1,1,0,1,0,0,2411038,Is the brown chair to the left or to the right of the ottoman that looks black?,left,choose,rel,none,0,0,0,0,0,0
18470134,E1,0,1,1,1,0,0,2389268,What is the name of the food to the left of the tomato that is underneath the pickles?,hamburger,query,rel,none,0,0,0,0,0,0
11207726,E1,0,1,1,1,0,0,2316747,Is the computer to the left of a dresser?,yes,verify,rel,object_existence,1,0,1,0,0,0
11366797,E1,1,1,0,1,0,0,2406331,What is that woman doing?,riding,query,attr,counting,0,0,0,1,0,0
10980191,E1,0,1,1,1,0,0,2345081,What do you think is in the pot?,tree,query,rel,none,0,0,0,0,0,0
12582202,E1,1,1,0,1,0,0,2353890,Is the wood cabinet to the right or to the left of the couch in the image?,right,choose,rel,object_existence,1,1,0,0,0,0
12246928,E1,0,0,0,1,0,0,2375184,What's the cat on?,rug,query,rel,none,0,0,0,0,0,0
15880558,E1,0,0,0,1,0,0,2356643,How clean are the windows on the side of the train?,tinted,query,attr,object_existence,1,0,0,0,0,0
131009649,E1,1,1,0,1,0,0,2326436,"Which is less healthy, the cookies or the tomato?",cookies,compare,attr,none,0,0,0,0,0,0
