sample_id,method,baseline_correct,corrected_correct,flip_to_correct,intervened,used_fallback,flip_to_wrong,image_id,question,ground_truth,question_type_structural,question_type_semantic
101047999,E1,1,1,0,1,0,0,2329006,Are there chairs to the right of the blanket in the top of the photo?,no,verify,rel
18100369,E1,1,1,0,1,0,0,2395206,Are there bells or helmets in the scene?,no,logical,obj
12974671,E1,1,1,0,1,0,0,2404130,What is on the table?,tray,query,rel
13273642,E1,1,1,0,1,0,0,2347438,What kind of furniture is above the trunk?,bed,query,rel
11211902,E1,0,0,0,1,0,0,2394152,Is the salad to the left or to the right of the food on the plate?,right,choose,rel
111030897,E1,1,1,0,1,0,0,2400651,Which side of the image is the boy on?,left,query,attr
15794361,E1,1,1,0,1,0,0,2366610,Does the shirt have white color?,yes,verify,attr
161071057,E1,1,1,0,1,0,0,2376032,Do you see dogs in the photo?,no,verify,obj
19110577,E1,1,1,0,1,0,0,2376766,What is the man on?,bench,query,rel
1564748,E1,0,1,1,1,0,0,2331126,Does the bowl to the right of the surfboard have black color and small size?,yes,logical,attr
10630915,E1,0,0,0,1,0,0,2406643,Who is wearing a helmet?,skateboarder,query,rel
19379027,E1,1,1,0,1,0,0,2399484,Is there any food or wine that is white?,yes,logical,obj
14770772,E1,1,1,0,1,0,0,2348905,What color does the beard have?,gray,query,attr
11705481,E1,1,1,0,1,0,0,2344018,What's the bottle made of?,plastic,query,attr
14384714,E1,0,0,0,1,0,0,2389376,What is the umpire wearing?,hat,query,rel
12456426,E1,1,1,0,1,0,0,2318983,On which side of the image is the surfboard?,left,query,attr
19818113,E1,1,0,0,1,0,1,2388404,Is there a train or a window in this image?,yes,logical,obj
13930214,E1,1,1,0,1,0,0,2400117,Is the woman wearing jeans?,yes,verify,rel
161063494,E1,1,1,0,1,0,0,2410862,What animal rides the animal to the left of the wine?,frog,query,rel
17773211,E1,0,1,1,1,0,0,2320507,"What color is the animal's tail, white or black?",white,choose,attr
12140937,E1,0,1,1,1,0,0,2359333,What are the headphones on?,sofa,query,rel
10857773,E1,1,1,0,1,0,0,2360862,Are there both berries and peaches in the image?,no,logical,obj
14740694,E1,0,1,1,1,0,0,2365515,Which item of furniture is made of leather?,couch,query,cat
12165541,E1,0,1,1,1,0,0,2398481,Where are the scissors?,floor,query,rel
12241557,E1,0,0,0,1,0,0,2368239,"On which side of the image is the teddy bear, the left or the right?",right,choose,attr
101001520,E1,1,1,0,1,0,0,2339853,What is the vegetable to the left of the olives that look black?,broccoli,query,rel
17250321,E1,1,1,0,1,0,0,2411357,What appliance is on?,oven,query,cat
12741461,E1,0,0,0,1,0,0,2378292,Which color is the balloon that is to the right of the other balloon?,pink,query,attr
18348364,E1,0,1,1,1,0,0,2339244,What is the piece of furniture to the left of the coffee table the tray is on top of?,sofa,query,rel
17528428,E1,0,0,0,1,0,0,2410790,Does the chair on the side walk look pink and plastic?,no,logical,attr
16529302,E1,1,1,0,1,0,0,2414784,Is the tub the same color as the cat?,no,compare,attr
11493619,E1,0,0,0,1,0,0,2363920,Is the vehicle tan and large?,no,logical,attr
1697991,E1,1,0,0,1,0,1,2366066,Are there any skiers to the left of the people that are skiing?,no,verify,rel
19910432,E1,1,1,0,1,0,0,2318963,What food is to the right of the woman?,pasta,query,rel
1370125,E1,1,1,0,1,0,0,2342793,What is located on top of the cabinet by the desk?,printer,query,rel
16464458,E1,0,0,0,1,0,0,2386341,What is the black item of furniture called?,shelf,query,cat
1796765,E1,1,1,0,1,0,0,2393919,Do you see any maroon ties?,yes,verify,obj
13628221,E1,0,1,1,1,0,0,2342004,Who is in front of the wall?,man,query,rel
19326711,E1,1,1,0,1,0,0,2341622,What kind of animal is large?,bird,query,cat
14974783,E1,1,1,0,1,0,0,2338671,Is the orange to the right of an apple?,no,verify,rel
18655716,E1,0,0,0,1,0,0,2328701,What color does the backpack on the right have?,green,query,attr
17206229,E1,1,1,0,1,0,0,2413307,Is the girl that is not sad wearing boots?,no,verify,rel
17362266,E1,0,1,1,1,0,0,2322487,Is the field covered with weeds?,yes,verify,rel
16844708,E1,0,1,1,1,0,0,2405085,What is the fence in front of?,pole,query,rel
14445965,E1,0,1,1,1,0,0,2386698,Is the bowl to the left or to the right of the mug?,right,choose,rel
11546518,E1,0,0,0,1,0,0,2380112,What is on the vehicle that is in the snow?,ladder,query,rel
13629300,E1,1,1,0,1,0,0,2324171,What is the seat on?,bench,query,rel
13663536,E1,1,1,0,1,0,0,2333016,Which kind of furniture is the keyboard on?,desk,query,rel
18671112,E1,0,1,1,1,0,0,2405414,What's located on top of the man?,jacket,query,rel
18492629,E1,1,1,0,1,0,0,2371601,Who is in front of the dark trees?,man,query,rel
14279279,E1,1,1,0,1,0,0,2321894,What's the pipe on?,motorcycle,query,rel
15340115,E1,0,1,1,1,0,0,2325932,Who is wearing a jacket?,woman,query,rel
19904701,E1,0,1,1,1,0,0,2368905,On which side is the chair?,left,query,attr
13515501,E1,1,1,0,1,0,0,2397987,Is the large device on the left?,yes,verify,attr
1979414,E1,1,1,0,1,0,0,2376384,Do you see both mirrors and towels?,yes,logical,obj
11214457,E1,0,1,1,1,0,0,2412272,On which side of the picture is the woman?,right,query,attr
15427529,E1,1,1,0,1,0,0,2363939,Is this pillow on a bed?,no,verify,rel
1173487,E1,0,1,1,1,0,0,2354443,Where is that tree?,beach,query,rel
10338521,E1,0,0,0,1,0,0,2344193,What is in front of the horse?,gate,query,rel
19757872,E1,1,1,0,1,0,0,2385218,Is the person to the left of the woman carrying an umbrella?,no,verify,rel
16710724,E1,1,1,0,1,0,0,1074,What is the bike in front of?,steps,query,rel
15225219,E1,1,1,0,1,0,0,2330610,Is the woman wearing a skirt?,no,verify,rel
19358398,E1,1,1,0,1,0,0,1159380,Is the lamp on the left side?,yes,verify,attr
13339719,E1,1,1,0,1,0,0,2356833,Does the person that is to the right of the console appear to be driving or playing?,playing,choose,attr
12639700,E1,1,1,0,1,0,0,2323162,How large are the towers?,large,query,attr
16275129,E1,0,1,1,1,0,0,2380483,Do you see any speaker there?,yes,verify,obj
17297249,E1,1,1,0,1,0,0,2398522,What is in front of the bushes?,bench,query,rel
13178406,E1,0,0,0,1,0,0,2370684,What kind of sign do you think is above the snow on the ground?,street sign,query,rel
1925086,E1,1,1,0,1,0,0,2366862,Does the animal next to the bath tub look large?,no,verify,attr
18920464,E1,1,1,0,1,0,0,2415396,Are the pear to the left of the bowl and the banana to the left of the bowl both tiny?,yes,logical,obj
11207448,E1,0,1,1,1,0,0,2316747,What kind of furniture is the monitor on?,shelf,query,rel
1942684,E1,1,1,0,1,0,0,2371012,Do the bull and the sky have a different colors?,yes,compare,attr
11311050,E1,1,1,0,1,0,0,713230,Is there a bench or a star that is brown?,yes,logical,obj
19773949,E1,1,1,0,1,0,0,2372613,Which kind of vegetable is to the right of the spinach?,carrot,query,rel
18583209,E1,0,1,1,1,0,0,2362883,Who is wearing jeans?,man,query,rel
13357495,E1,0,1,1,1,0,0,2403546,Who is holding the bat?,girl,query,rel
11589201,E1,1,1,0,1,0,0,2329846,On which side of the picture is the blue bag?,left,query,attr
10926949,E1,0,1,1,1,0,0,2365501,What is the fruit that is to the right of the pink candle?,grape,query,rel
13502157,E1,0,1,1,1,0,0,2405230,What clothing item is long?,jacket,query,cat
18704247,E1,1,1,0,1,0,0,498197,What is the animal that is to the left of the monitor?,bear,query,rel
18997484,E1,1,0,0,1,0,1,2317262,Is the brown fence in front of the animal that is not short?,no,verify,rel
10561393,E1,0,0,0,1,0,0,2354914,Is the bag to the right or to the left of the person who is holding the umbrella?,right,choose,rel
19737324,E1,0,0,0,1,0,0,2386651,What's the bag on?,coffee table,query,rel
161020577,E1,0,0,0,1,0,0,2386644,What kind of aircraft is flying?,airplane,query,cat
14796793,E1,0,1,1,1,0,0,2409083,Is the knife to the right of a bread?,yes,verify,rel
18230133,E1,1,1,0,1,0,0,2402334,Which color is the shirt that the person is wearing?,red,query,attr
13908048,E1,1,0,0,1,0,1,2371222,Which side of the picture are the glasses on?,left,query,attr
10737505,E1,0,0,0,1,0,0,2388975,Which kind of vegetable is on the sandwich?,avocado,query,rel
14996062,E1,1,1,0,1,0,0,2353347,Are there both motorcycles and helmets in the picture?,no,logical,obj
12745124,E1,1,1,0,1,0,0,2399842,Is it an indoors or outdoors scene?,indoors,choose,global
12334288,E1,0,1,1,1,0,0,2320242,What device is to the left of the cabinet?,controller,query,rel
16351287,E1,1,1,0,1,0,0,2369489,Is the television on a dresser?,no,verify,rel
11411531,E1,0,0,0,1,0,0,2374220,Does the device to the right of the umbrella look black?,no,verify,attr
1583422,E1,0,1,1,1,0,0,2336635,Where is the woman standing?,hallway,query,rel
1260165,E1,0,1,1,1,0,0,2354042,Are there any remote controls in this image?,yes,verify,obj
10767860,E1,1,1,0,1,0,0,2412014,Is it an indoors scene?,yes,verify,global
121037827,E1,1,1,0,1,0,0,2366017,What animal is to the right of the dog?,sheep,query,rel
1693927,E1,1,1,0,1,0,0,2360374,What's the remote control on?,desk,query,rel
16448765,E1,1,1,0,1,0,0,2345013,Is the man to the right or to the left of the chair on the left?,right,choose,rel
10970525,E1,1,1,0,1,0,0,2347454,What's in the sink?,ball,query,rel
18368230,E1,1,1,0,1,0,0,2388030,What is the color of the arrow on the street sign?,white,query,attr
18546918,E1,0,0,0,1,0,0,2366467,What is the shape of the plate on the right?,octagonal,query,attr
1928517,E1,1,1,0,1,0,0,2365742,Are there either any refrigerators or bags that are red?,yes,logical,obj
1335954,E1,1,1,0,1,0,0,2329033,Is the man to the left or to the right of the people in the middle of the picture?,right,choose,rel
13539044,E1,1,1,0,1,0,0,1159827,"What material is the floor, hardwood or stone?",hardwood,choose,attr
15729910,E1,1,1,0,1,0,0,4120,Is the bridge brown or green?,brown,choose,attr
18961291,E1,0,0,0,1,0,0,2390742,What color do you think the adult sheep that is eating grass is?,black,query,attr
16791638,E1,1,1,0,1,0,0,2359040,Is the tap on the right side?,no,verify,attr
1887740,E1,0,0,0,1,0,0,2414496,What place is shown?,pavement,query,global
12774477,E1,1,1,0,1,0,0,2342152,What animal is in front of the trees on the right side?,giraffe,query,rel
18107049,E1,1,1,0,1,0,0,2411038,Is the brown chair to the left or to the right of the ottoman that looks black?,left,choose,rel
18470134,E1,0,1,1,1,0,0,2389268,What is the name of the food to the left of the tomato that is underneath the pickles?,hamburger,query,rel
11207726,E1,0,1,1,1,0,0,2316747,Is the computer to the left of a dresser?,yes,verify,rel
11366797,E1,1,1,0,1,0,0,2406331,What is that woman doing?,riding,query,attr
10980191,E1,0,1,1,1,0,0,2345081,What do you think is in the pot?,tree,query,rel
12582202,E1,1,1,0,1,0,0,2353890,Is the wood cabinet to the right or to the left of the couch in the image?,right,choose,rel
12246928,E1,0,0,0,1,0,0,2375184,What's the cat on?,rug,query,rel
15880558,E1,0,0,0,1,0,0,2356643,How clean are the windows on the side of the train?,tinted,query,attr
131009649,E1,1,1,0,1,0,0,2326436,"Which is less healthy, the cookies or the tomato?",cookies,compare,attr
19743171,E1,1,1,0,1,0,0,1592305,Do you see any cones on the road the man is crossing?,no,verify,rel
12105812,E1,0,1,1,1,0,0,1159745,What is the bat made of?,metal,query,attr
14470764,E1,0,0,0,1,0,0,713118,Who is wearing the tie?,guy,query,rel
11804543,E1,0,1,1,1,0,0,2392752,What color is the ball?,white,query,attr
18983693,E1,0,0,0,1,0,0,2357784,What is on the statue?,jacket,query,rel
11327974,E1,0,0,0,1,0,0,2350666,Which sign is white?,street sign,query,cat
15127182,E1,0,1,1,1,0,0,2390938,What fruits are to the left of the strawberry on the plate?,cherries,query,rel
12640880,E1,1,1,0,1,0,0,2358626,Does he wear a cap?,yes,verify,rel
17560384,E1,1,1,0,1,0,0,2359451,Is the train to the right or to the left of the bag the man is carrying?,right,choose,rel
16167582,E1,1,1,0,1,0,0,2320104,On which side is the man?,left,query,attr
101008884,E1,1,1,0,1,0,0,2373429,Are there bikes or brooms?,no,logical,obj
11925963,E1,1,1,0,1,0,0,2318297,What color does the uniform have?,red,query,attr
15519571,E1,0,1,1,1,0,0,2400406,Who is in the sky?,man,query,rel
15785278,E1,0,0,0,1,0,0,2379924,Who do you think is in front of the person that wears glasses?,child,query,rel
10110879,E1,0,0,0,1,0,0,2389829,What is the man that is standing doing?,skateboarding,query,attr
191038862,E1,1,1,0,1,0,0,2367639,Is the plant in a vase?,no,verify,rel
10281484,E1,1,1,0,1,0,0,2358727,Do you see any checkered tablecloths or tables?,yes,logical,obj
17456829,E1,1,1,0,1,0,0,2369861,Is this rug brown or blue?,blue,choose,attr
13517306,E1,1,1,0,1,0,0,2408450,What place was the photo taken at?,station,query,global
13275255,E1,0,0,0,1,0,0,2345745,What is on the plate that is to the left of the beverage?,knife,query,rel
16540407,E1,0,0,0,1,0,0,2411094,Are there both towels and mirrors in the picture?,no,logical,obj
123230,E1,1,1,0,1,0,0,2410046,Is the ground white or black?,white,choose,attr
15705216,E1,0,1,1,1,0,0,2345287,Which side is the shelf on?,left,query,attr
13294481,E1,1,1,0,1,0,0,2338299,Which kind of animal is it?,elephant,query,cat
19831270,E1,1,1,0,1,0,0,2412358,What is the man in the crowd wearing?,hat,query,rel
14904180,E1,1,1,0,1,0,0,2342525,Is it outdoors?,yes,verify,global
17797182,E1,1,0,0,1,0,1,2345193,What color is the shirt the woman is wearing?,red,query,attr
19929863,E1,0,1,1,1,0,0,2397231,What is the bench in front of?,tree,query,rel
16409146,E1,1,0,0,1,0,1,2397884,Is the train white?,yes,verify,attr
13831517,E1,1,1,0,1,0,0,2362843,Does the roof have the same color as the post?,no,compare,attr
17569381,E1,0,1,1,1,0,0,2409707,Are the napkins to the right of the person on the left side?,yes,verify,rel
19900274,E1,1,1,0,1,0,0,2316836,Is there any laptop on the table?,no,verify,rel
19284369,E1,1,1,0,1,0,0,2341763,Do you see both a door and a window?,yes,logical,obj
11595526,E1,1,1,0,1,0,0,2407603,What's the trash can made of?,metal,query,attr
13387365,E1,0,1,1,1,0,0,2323659,Who is wearing the socks?,child,query,rel
10611152,E1,0,0,0,1,0,0,1159729,What kind of appliance is to the left of the blender in the center?,coffee maker,query,rel
19388759,E1,0,0,0,1,0,0,2325119,What is in the container?,cabbage,query,rel
196941,E1,1,1,0,1,0,0,2356670,What's the fence made of?,wood,query,attr
18445197,E1,1,1,0,1,0,0,2333821,What is hanging on the brick wall?,flag,query,rel
162519,E1,0,1,1,1,0,0,2399406,"What animal are the trees behind of, an elephant or a horse?",horse,choose,rel
1638555,E1,1,1,0,1,0,0,2385819,Was paper used to make the cup to the left of the plate?,no,verify,attr
18495742,E1,0,0,0,1,0,0,2367541,Is there either a truck or a mirror in the picture?,no,logical,obj
121035917,E1,1,1,0,1,0,0,2366019,Is he reaching for a ball?,no,verify,rel
15569187,E1,1,1,0,1,0,0,2369303,What animal is resting on the counter?,cat,query,rel
161055690,E1,1,1,0,1,0,0,2381697,Is the office chair in the top part?,yes,verify,attr
19722362,E1,1,1,0,1,0,0,2409991,Does the gray rug look rectangular?,no,verify,attr
16270020,E1,1,1,0,1,0,0,2407148,Is the woman to the left or to the right of the picture on the wall?,right,choose,rel
17319928,E1,0,0,0,1,0,0,2338989,What is on the green sign?,flag,query,rel
14333836,E1,1,1,0,1,0,0,2392431,Are the trees behind the rock brown and dry?,no,logical,attr
10416960,E1,0,1,1,1,0,0,2384448,What is the appliance to the left of the table called?,heater,query,rel
1872725,E1,0,1,1,1,0,0,2315718,Who is wearing a shoe?,man,query,rel
14823603,E1,0,1,1,1,0,0,2415340,Who is wearing the clothes?,officers,query,rel
17380615,E1,1,1,0,1,0,0,2413638,What is the fruit to the left of the food that is in the middle of the image?,banana,query,rel
1683024,E1,0,1,1,1,0,0,2370783,On which side of the picture is the car?,left,query,attr
19517906,E1,1,1,0,1,0,0,2376529,What animal is wearing a vest?,dog,query,rel
18418493,E1,1,1,0,1,0,0,2357178,Are there any jets near the metal fence?,yes,verify,rel
10662285,E1,1,1,0,1,0,0,2316905,Is there a woman in the photograph?,no,verify,obj
19388822,E1,1,1,0,1,0,0,2325119,Which kind of food is to the left of the plate?,soup,query,rel
12262425,E1,1,1,0,1,0,0,2351509,What animal is in front of the shelter?,horse,query,rel
19738608,E1,1,1,0,1,0,0,2403712,Is the officer on the motorcycle wearing a shirt?,yes,verify,rel
16642960,E1,1,1,0,1,0,0,2361351,Does the sky look blue and cloudy?,no,logical,attr
19904735,E1,0,0,0,1,0,0,2368905,What is in front of the tent?,gate,query,rel
13451111,E1,1,1,0,1,0,0,2410753,What is the monitor larger than?,laptop,query,rel
12401491,E1,1,1,0,1,0,0,2391642,Is the bottle to the left or to the right of the large bowl?,left,choose,rel
14541042,E1,1,1,0,1,0,0,2392572,Is it an indoors or outdoors scene?,indoors,choose,global
10981648,E1,1,1,0,1,0,0,2390101,Is the player to the left of a racket?,no,verify,rel
141036559,E1,1,0,0,1,0,1,2392868,Are there umbrellas or bags?,yes,logical,obj
101013199,E1,0,1,1,1,0,0,2374319,Are there both pepperoni and cheese in the photograph?,yes,logical,obj
13127407,E1,0,1,1,1,0,0,2403783,Is the woman to the right of a bottle?,yes,verify,rel
1323401,E1,1,1,0,1,0,0,2396504,What kind of baked good is it?,donut,query,cat
19360948,E1,1,1,0,1,0,0,2355370,What is the vegetable that is to the right of the curtain?,pepper,query,rel
1067170,E1,0,1,1,1,0,0,2336295,Which place is it?,ocean,query,global
16356748,E1,1,1,0,1,0,0,2361927,Is the calm water blue or brown?,blue,choose,attr
10690348,E1,0,1,1,1,0,0,2322694,What is the person in front of?,plant,query,rel
14421511,E1,0,1,1,1,0,0,2338882,Which kind of fruit is on the plate?,apples,query,rel
12880964,E1,1,1,0,1,0,0,2390599,Is there a truck to the left of the people that are wearing helmets?,yes,verify,rel
17312211,E1,1,1,0,1,0,0,2405349,Which kind of animal are the trees behind of?,elephant,query,rel
1638503,E1,1,1,0,1,0,0,2385819,Is the bowl in the top part of the photo?,yes,verify,attr
12324593,E1,1,1,0,1,0,0,2408616,Are there any fences to the right of the brown animal?,yes,verify,rel
