sample_id,image_id,question,ground_truth,question_type_structural,question_type_semantic,n_claims_total,claims_total_object_existence,claims_supported_object_existence,claims_contradicted_object_existence,claims_uncertain_object_existence,claims_total_attribute,claims_supported_attribute,claims_contradicted_attribute,claims_uncertain_attribute,claims_total_spatial,claims_supported_spatial,claims_contradicted_spatial,claims_uncertain_spatial,claims_total_counting,claims_supported_counting,claims_contradicted_counting,claims_uncertain_counting,claims_total_action,claims_supported_action,claims_contradicted_action,claims_uncertain_action,claims_total_text_ocr,claims_supported_text_ocr,claims_contradicted_text_ocr,claims_uncertain_text_ocr,dominant_contradicted_type,has_any_contradiction
1417011,2412339,Which side is the helmet on?,left,query,attr,5,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,none,0
17596714,2397873,What is in front of the bushes?,train tracks,query,rel,5,2,2,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,none,0
8651263,2391908,What is the street sign on?,street light,query,rel,5,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,none,0
11293734,2391802,Is there a lamb to the left of the ball?,no,verify,rel,5,1,1,0,0,2,0,0,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,none,0
6566426,2359746,What is the man in?,canoe,query,rel,5,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,object_existence,1
161065162,2349334,Who is wearing the jeans?,man,query,rel,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,3,0,0,1,0,0,1,none,0
365933,2400350,What is the color of the placemat in the top part of the photo?,cream colored,query,attr,5,3,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0
18168885,61533,Does she look at the ball in the top of the picture?,yes,verify,rel,5,3,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,object_existence,1
10682334,2412363,Is there food to the right of the tomato that the pepper is to the right of?,no,verify,rel,5,1,1,0,0,2,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,none,0
6564130,2398184,What is the device that he holds?,cell phone,query,rel,5,3,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,object_existence,1
16434006,1159963,What does the person that to the right of the boy wear?,blouse,query,rel,5,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,spatial,1
12252824,2405244,What is the color of the train to the left of the woman?,blue,query,attr,5,2,2,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,none,0
829456,2387148,What place was the image taken at?,street,query,global,5,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,none,0
18602180,2404083,Are the clouds in the sky rainy or cloudy?,rainy,choose,attr,5,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,object_existence,1
8337624,2394960,Which side of the image is the man on?,left,query,attr,5,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,none,0
3318431,2383905,What are the bleachers made of?,wood,query,attr,5,1,1,0,0,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,none,0
9179577,2381259,What is located on top of the skateboard?,sneakers,query,rel,5,1,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,object_existence,1
9432410,2415221,What animal is striped?,cat,query,cat,5,2,2,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0
19104279,2345050,What is the girl playing with?,ball,query,rel,5,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,object_existence,1
96049,2332415,Is the woman to the left or to the right of the man that holds the racket?,right,choose,rel,5,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,none,0
3493955,2386297,Is the silver car to the left or to the right of the people that are on the right side?,left,choose,rel,5,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,none,0
3437169,2352380,On which side of the image are the nuts?,right,query,attr,5,3,3,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,none,0
6981173,2379976,What place is it?,display,query,global,5,1,0,1,0,2,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,object_existence,1
10763404,1159296,Are the utensils to the right of a refrigerator?,no,verify,rel,5,0,0,0,0,2,1,0,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,none,0
19225232,2342134,Are there any fences or helmets?,no,logical,obj,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,object_existence,1
5686508,2344393,Is the car to the left of the other car green or silver?,silver,choose,attr,5,1,1,0,0,2,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,attribute,1
8709099,2378264,Is the man to the left of the boat wearing a jacket?,no,verify,rel,10,4,4,0,0,2,0,0,2,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,none,0
91039290,2386440,Is the blue truck to the left of a person?,no,verify,rel,5,0,0,0,0,3,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,none,0
3581765,2406473,Is there either a small scooter or motorcycle?,no,logical,obj,5,3,1,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,object_existence,1
3322739,2358081,Is the man to the left or to the right of the spectator on the left?,right,choose,rel,5,1,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,2,2,0,0,0,0,0,0,none,0
10259915,2368742,Does the sidewalk seem to be red and dirty?,no,logical,attr,5,4,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,object_existence,1
682915,2347146,Does the nose that looks black look round and small?,yes,logical,attr,5,2,2,0,0,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,none,0
13515619,2397987,What kind of furniture is to the left of the rug?,ottoman,query,rel,5,0,0,0,0,1,0,0,1,3,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,none,0
17560215,2359451,Who wears shoes?,man,query,rel,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,none,0
1972311,2387777,Is this a lamb or a cow?,lamb,choose,cat,5,3,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,object_existence,1
6146373,2390480,Is the toilet to the right of the food?,yes,verify,rel,5,1,1,0,0,0,0,0,0,3,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,none,0
930300,2396634,Do the shorts look black or red?,black,choose,attr,5,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,attribute,1
12741575,2378292,Are there any salt shakers or batteries?,no,logical,obj,5,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,none,0
9730771,2358122,What vehicle is the man in?,carriage,query,rel,5,3,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,object_existence,1
4527826,2349159,Are both the cooking pot and the chair made of the same material?,yes,compare,attr,5,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,none,0
11193931,2401803,Are the remote and the floor made of the same material?,no,compare,attr,5,3,2,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,object_existence,1
6328865,2367411,Is the green car in the bottom part or in the top of the picture?,bottom,choose,attr,5,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,none,0
5410113,498329,Which side of the image is the television on?,left,query,attr,5,3,2,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,object_existence,1
650121,497937,What animal is on the chair on the right side of the picture?,cat,query,rel,5,1,1,0,0,2,0,0,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,none,0
17949859,2362562,Is there any lettuce to the right of the carrot in the center of the image?,yes,verify,rel,5,3,3,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attribute,1
14669854,2337103,Are there controllers or beds?,no,logical,obj,5,2,1,1,0,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,object_existence,1
5863853,2346071,Does the man in front of the end table appear to be standing?,no,verify,attr,5,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,none,0
133485,2409219,Are there any chairs to the right of the young child?,no,verify,rel,5,2,2,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,spatial,1
19954280,2406002,What vegetables are on the plate?,tomatoes,query,rel,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,none,0
8894679,2360703,Are there any boxes beside the device to the left of the mat?,yes,verify,rel,5,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,none,0
18229012,2402333,What is located on top of the white table?,lamp,query,rel,5,1,1,0,0,3,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,none,0
17459063,2413541,Which place is it?,airport,query,global,5,2,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,object_existence,1
3212804,2327623,What does the person wear?,shorts,query,rel,5,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,1,none,0
13136918,2406090,Is the sky both blue and overcast?,no,logical,attr,5,3,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,object_existence,1
17853007,2337616,Is there any horse or sheep that is not gray?,no,logical,obj,5,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,none,0
9928108,2344757,On which side is the umpire?,right,query,attr,5,1,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,none,0
5459303,713360,Who is carrying the bag?,lady,query,rel,5,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,none,0
376680,2354196,Does the woman to the left of the man wear shorts?,yes,verify,rel,5,0,0,0,0,0,0,0,0,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,spatial,1
529198,1592615,Are there any chairs or computers in this scene?,yes,logical,obj,5,2,2,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,none,0
397762,2374803,What is the player that is to the left of the helmet preparing?,baseball bat,query,rel,5,2,2,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,none,0
10403875,2327830,On what kind of furniture is the cat?,table,query,rel,5,2,2,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,none,0
16488440,2321052,Which kind of appliance is to the left of the lamp?,air conditioner,query,rel,6,2,2,0,0,1,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,none,0
19494904,2365760,Are there both tables and couches in the picture?,yes,logical,obj,5,1,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,none,0
1864177,2322984,"In which part is the person, the top or the bottom?",bottom,choose,attr,5,2,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,object_existence,1
14275115,2398835,Does the chair have a different color than the headband?,yes,compare,attr,5,1,1,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,none,0
1763834,2400752,What vehicles are in the street?,cars,query,rel,5,4,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,object_existence,1
283108,2330700,What's on the plate?,pizza,query,rel,5,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,none,0
14816347,2363629,Is there any bear in the image?,yes,verify,obj,5,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,none,0
14381909,2403590,Is the woman to the right or to the left of the glasses that are to the left of the train?,left,choose,rel,5,1,1,0,0,0,0,0,0,3,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,none,0
13764117,2401635,Are there any teddy bears on top of the bed?,no,verify,rel,5,1,1,0,0,1,0,0,1,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,none,0
9964815,2414646,Are there logoes on the oven?,no,verify,rel,5,4,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,object_existence,1
5913845,2332780,What kind of furniture is it?,table,query,cat,5,3,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0
5755315,2400761,Are there any green pillows or bridges?,yes,logical,obj,7,4,3,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,object_existence,1
5469399,2393510,Is the man with the glasses throwing a ball?,no,verify,rel,5,0,0,0,0,2,0,0,2,1,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,none,0
161036696,2368963,Is the patterned curtain behind the dresser open and long?,no,logical,attr,5,4,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0
1366354,2349328,How is the weather?,sunny,query,global,5,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,object_existence,1
16811715,2378978,Is the sky clear or foggy?,clear,choose,attr,5,3,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,object_existence,1
10882926,2385070,What do the end table and the frame have in common?,material,compare,attr,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0
14124503,1592427,Are there either trains or trailers in this scene?,no,logical,obj,5,0,0,0,0,2,0,0,2,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,none,0
3962729,2345855,Is the white toilet to the right or to the left of the faucet?,right,choose,rel,5,3,3,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0
3635273,2367211,What is in the kitchen?,cabinets,query,rel,5,1,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,none,0
11298977,2341585,Is the woman in front of the people using a computer?,no,verify,rel,5,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,none,0
866588,2406152,Which type of furniture is made of wood?,computer desk,query,cat,5,2,2,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0
15242425,2387376,Of which color is the sky?,dark,query,attr,5,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,object_existence,1
7777814,2370053,Is the man to the right of the cars wearing a watch?,yes,verify,rel,5,1,1,0,0,2,0,0,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,spatial,1
1956518,2405983,Is the bright sky overcast or sunny?,sunny,choose,attr,5,4,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0
12171112,2367977,"What is this, an oven or a dishwasher?",dishwasher,choose,cat,5,3,0,3,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,object_existence,1
1009938,497933,Who stands on the skis?,boy,query,rel,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,none,0
2325517,2367555,Is there a cat or a dog in the photo?,no,logical,obj,5,2,1,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,object_existence,1
131059645,2399053,What is the man on?,bench,query,rel,5,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,none,0
2591010,2320327,Is the cat healthy?,yes,verify,attr,5,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,none,0
6983021,2356227,Who in the picture is eating?,man,query,cat,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,object_existence,1
222257,2360758,Is there a couch to the left of the man the cans are to the right of?,yes,verify,rel,5,2,2,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,none,0
14524305,2407279,What is the brown bear balancing on?,log,query,rel,5,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,none,0
3150880,1593177,What is the net on?,pole,query,rel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0
8116986,2396469,What is the man walking on?,ground,query,rel,5,1,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,object_existence,1
13430682,2413411,Do you see onions in this photograph?,no,verify,obj,5,2,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,object_existence,1
51058592,2351317,What is the color of the tshirt the girl is wearing?,white,query,attr,5,0,0,0,0,3,0,0,3,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,none,0
5111627,2363282,Are there ramekins or bottles in the picture?,no,logical,obj,5,3,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0
11139796,2344439,Is the bicycle to the right or to the left of the person that looks blonde?,right,choose,rel,5,1,0,1,0,0,0,0,0,3,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,object_existence,1
141036087,2392869,What is the person holding?,surfboard,query,rel,10,5,4,1,0,3,1,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,object_existence,1
171034612,2344782,Are there tablecloths or bowls?,no,logical,obj,5,3,3,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,none,0
11119089,2404154,Is the sauce on top of a pizza slice?,yes,verify,rel,5,2,0,2,0,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,object_existence,1
1750921,2381128,What is the lady wearing?,pants,query,rel,5,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,none,0
17667821,2393949,Who is holding the device that looks gray and silver?,girl,query,rel,5,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,object_existence,1
4173770,2411136,Do the paper and the liquid have a different colors?,yes,compare,attr,5,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,none,0
1573911,2384811,Does the man's hair appear to be black or light brown?,black,choose,attr,5,3,2,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,object_existence,1
10587792,2335112,What is the bottle on?,counter,query,rel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0
13363918,2337535,Are there both steam and smoke?,yes,logical,obj,5,4,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0
11354848,2382462,Does the jacket have brown color?,yes,verify,attr,5,0,0,0,0,3,0,0,3,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,none,0
11385575,2326388,What animal is this child on?,horse,query,rel,5,4,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,object_existence,1
16742353,2378984,Are there both chairs and windows in the image?,no,logical,obj,5,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,1,none,0
7696685,2388377,Are there both a chair and a desk in this scene?,yes,logical,obj,5,1,1,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,none,0
6356032,2352718,What is the vehicle to the left of the person that is standing by the fire hydrant?,car,query,rel,5,1,1,0,0,1,0,0,1,2,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,none,0
15425887,2363931,Which side of the photo is the kid on?,left,query,attr,5,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,none,0
10660951,2366958,Do you see white plates or mugs?,no,logical,obj,5,2,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,object_existence,1
15586374,2352617,What is located on top of the bed?,pillow,query,rel,5,3,2,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,object_existence,1
4914252,2317381,How long is the blond hair?,short,query,attr,5,4,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0
13425365,2412682,On which side is the bicycle?,right,query,attr,5,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,none,0
13226655,2367978,On which side of the image is the yellow vegetable?,left,query,attr,5,4,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,object_existence,1
19693907,2382366,What's the man holding?,fish,query,rel,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,none,0
10611191,2368747,Is it outdoors?,yes,verify,global,5,4,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0
1645076,2387991,Are there any blankets?,yes,verify,obj,5,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,object_existence,1
15978167,2365868,What's the porch made of?,brick,query,attr,5,2,1,1,0,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,object_existence,1
13497067,2378836,What is the pepper shaker that is to the left of the mug made of?,plastic,query,attr,5,2,2,0,0,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0
5433112,2338567,Are there either any dream catchers or lamps?,yes,logical,obj,5,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,none,0
8297228,1592640,Do you think that shirt is red?,yes,verify,attr,5,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,none,0
18782434,2356933,What do the mug and the tablecloth have in common?,color,compare,attr,5,3,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0
11524226,2415972,Are there either juice boxes or toothbrushes in the scene?,no,logical,obj,8,6,6,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0
12772816,2342151,What is the appliance in the kitchen?,refrigerator,query,rel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0
16661127,2336505,Is the door tan or is it maroon?,maroon,choose,attr,5,1,1,0,0,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,none,0
10742293,2369432,On which side of the picture is the boat?,right,query,attr,5,2,2,0,0,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,none,0
14202781,2345598,What is the piece of clothing that is black called?,jacket,query,cat,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,none,0
1886024,2410380,Do you see any grass there that is brown?,yes,verify,obj,5,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,none,0
181000995,4633,What item of furniture is to the right of the fruit?,chair,query,rel,5,3,3,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,none,0
6840268,2349795,Who is riding the elephant?,guy,query,rel,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,none,0
41025251,2342323,Who is wearing a hat?,woman,query,rel,5,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,1,none,0
1167999,1575,Which place is it?,river,query,global,5,1,1,0,0,3,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,none,0
16350496,2365644,What clothing item is long sleeved?,jacket,query,cat,5,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,none,0
18484260,2404247,Is there either a triangular pizza or sandwich in this photo?,no,logical,obj,10,5,4,1,0,3,1,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,object_existence,1
706944,314,Where is the man walking?,sidewalk,query,rel,5,1,0,1,0,1,0,0,1,2,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,object_existence,1
16535089,2407870,Does the motorbike on the road look black?,no,verify,attr,5,0,0,0,0,4,1,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,none,0
14389529,2410973,Are there either curtains or towels that are white?,yes,logical,obj,5,3,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0
13726900,2375648,Are there either cabinets or towels in this scene?,yes,logical,obj,5,1,1,0,0,2,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,none,0
19992444,2376382,Are there any clocks to the right of the jar that is to the right of the box?,yes,verify,rel,5,2,2,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0
