sample_id,image_id,question,ground_truth,method,prediction,correct
10682334,2412363,Is there food to the right of the tomato that the pepper is to the right of?,no,vanilla,"No, there is no food to the right of the tomato because there is no pepper in the image, and thus no tomato to the right of it.",1
10682334,2412363,Is there food to the right of the tomato that the pepper is to the right of?,no,self_correct,"No, there is no food to the right of the tomato.",1
10682334,2412363,Is there food to the right of the tomato that the pepper is to the right of?,no,cove_lite,"No, there is no food to the right of the tomato because there is no pepper in the image, and thus no tomato to the right of it.",1
10682334,2412363,Is there food to the right of the tomato that the pepper is to the right of?,no,resample_lite,"No, there is no food to the right of the tomato because there is no pepper present in the image.",1
06564130,2398184,What is the device that he holds?,cell phone,vanilla,The device he holds is a mobile phone.,0
06564130,2398184,What is the device that he holds?,cell phone,self_correct,The device he holds is a mobile phone.,0
06564130,2398184,What is the device that he holds?,cell phone,cove_lite,The device he holds is a mobile phone.,0
06564130,2398184,What is the device that he holds?,cell phone,resample_lite,The device he holds is a mobile phone.,0
16434006,1159963,What does the person that to the right of the boy wear?,blouse,vanilla,"The person to the right of the boy wears a red shirt, blue jeans, and a black hat.",0
16434006,1159963,What does the person that to the right of the boy wear?,blouse,self_correct,Corrected: The person to the right of the boy wears a red shirt and a black hat.,0
16434006,1159963,What does the person that to the right of the boy wear?,blouse,cove_lite,"The person to the right of the boy wears a red shirt, blue jeans, and a black hat.",0
16434006,1159963,What does the person that to the right of the boy wear?,blouse,resample_lite,"The person to the right of the boy is wearing a red shirt, black pants, and a black hat.",0
12252824,2405244,What is the color of the train to the left of the woman?,blue,vanilla,The color of the train to the left of the woman is yellow.,0
12252824,2405244,What is the color of the train to the left of the woman?,blue,self_correct,The color of the train to the left of the woman is blue and yellow.,1
12252824,2405244,What is the color of the train to the left of the woman?,blue,cove_lite,The color of the train to the left of the woman is yellow.,0
12252824,2405244,What is the color of the train to the left of the woman?,blue,resample_lite,The train to the left of the woman is blue.,1
0829456,2387148,What place was the image taken at?,street,vanilla,"The image appears to have been taken at a city street during a cycling event or race, but the exact place cannot be identified from the image provided.",1
0829456,2387148,What place was the image taken at?,street,self_correct,City street during a cycling event.,1
0829456,2387148,What place was the image taken at?,street,cove_lite,The image was taken at a city street during a cycling event or race.,1
0829456,2387148,What place was the image taken at?,street,resample_lite,"The image was likely taken at a city location, possibly during a cycling event.",0
18602180,2404083,Are the clouds in the sky rainy or cloudy?,rainy,vanilla,"The clouds in the sky appear to be cloudy, but they do not seem to be rainy.",1
18602180,2404083,Are the clouds in the sky rainy or cloudy?,rainy,self_correct,The clouds in the sky appear to be cloudy and possibly rainy.,1
18602180,2404083,Are the clouds in the sky rainy or cloudy?,rainy,cove_lite,"The clouds in the sky appear to be cloudy, but they do not seem to be rainy.",1
18602180,2404083,Are the clouds in the sky rainy or cloudy?,rainy,resample_lite,The clouds in the sky are cloudy but not rainy.,1
08337624,2394960,Which side of the image is the man on?,left,vanilla,The man is on the left side of the image.,1
08337624,2394960,Which side of the image is the man on?,left,self_correct,The man is on the right side of the image.,0
08337624,2394960,Which side of the image is the man on?,left,cove_lite,The man is on the left side of the image.,1
08337624,2394960,Which side of the image is the man on?,left,resample_lite,The man is on the left side of the image.,1
03318431,2383905,What are the bleachers made of?,wood,vanilla,The bleachers are made of wood.,1
03318431,2383905,What are the bleachers made of?,wood,self_correct,The bleachers are made of wood.,1
03318431,2383905,What are the bleachers made of?,wood,cove_lite,The bleachers are made of wood.,1
03318431,2383905,What are the bleachers made of?,wood,resample_lite,The bleachers are made of wood.,1
09179577,2381259,What is located on top of the skateboard?,sneakers,vanilla,The person's feet are located on top of the skateboard.,0
09179577,2381259,What is located on top of the skateboard?,sneakers,self_correct,The person's feet are located on top of the skateboard.,0
09179577,2381259,What is located on top of the skateboard?,sneakers,cove_lite,The person's feet are located on top of the skateboard.,0
09179577,2381259,What is located on top of the skateboard?,sneakers,resample_lite,The person's feet are located on top of the skateboard.,0
09432410,2415221,What animal is striped?,cat,vanilla,The animal that is striped in the image is a cat.,1
09432410,2415221,What animal is striped?,cat,self_correct,The animal that is striped in the image is a cat.,1
09432410,2415221,What animal is striped?,cat,cove_lite,The animal that is striped in the image is a cat.,1
09432410,2415221,What animal is striped?,cat,resample_lite,The animal that is striped in the image is a cat.,1
19104279,2345050,What is the girl playing with?,ball,vanilla,The girl is playing tennis.,0
19104279,2345050,What is the girl playing with?,ball,self_correct,The girl is playing tennis.,0
19104279,2345050,What is the girl playing with?,ball,cove_lite,The girl is playing tennis.,0
19104279,2345050,What is the girl playing with?,ball,resample_lite,The girl is playing with a tennis racket and tennis balls.,1
096049,2332415,Is the woman to the left or to the right of the man that holds the racket?,right,vanilla,The woman is to the right of the man that holds the racket.,1
096049,2332415,Is the woman to the left or to the right of the man that holds the racket?,right,self_correct,The woman is to the right of the man that holds the racket.,1
096049,2332415,Is the woman to the left or to the right of the man that holds the racket?,right,cove_lite,The woman is to the right of the man that holds the racket.,1
096049,2332415,Is the woman to the left or to the right of the man that holds the racket?,right,resample_lite,The woman is to the right of the man that holds the racket.,1
03493955,2386297,Is the silver car to the left or to the right of the people that are on the right side?,left,vanilla,The silver car (the train) is to the left of the people on the right side.,1
03493955,2386297,Is the silver car to the left or to the right of the people that are on the right side?,left,self_correct,The silver car is to the left of the people on the right side.,1
03493955,2386297,Is the silver car to the left or to the right of the people that are on the right side?,left,cove_lite,The silver car (the train) is to the left of the people on the right side.,1
03493955,2386297,Is the silver car to the left or to the right of the people that are on the right side?,left,resample_lite,The silver car is to the left of the people that are on the right side.,1
03437169,2352380,On which side of the image are the nuts?,right,vanilla,The nuts are not visible in the image.,0
03437169,2352380,On which side of the image are the nuts?,right,self_correct,The nuts are on the right side of the image.,1
03437169,2352380,On which side of the image are the nuts?,right,cove_lite,The nuts are not visible in the image.,0
03437169,2352380,On which side of the image are the nuts?,right,resample_lite,"The nuts are on the donuts, which are visible in the foreground of the image, on the right side of the image from the viewer's perspective.",1
06981173,2379976,What place is it?,display,vanilla,It is a bathroom showroom or display area.,1
06981173,2379976,What place is it?,display,self_correct,It is a bathroom showroom or display area.,1
06981173,2379976,What place is it?,display,cove_lite,It is a bathroom showroom or display area.,1
06981173,2379976,What place is it?,display,resample_lite,It is a showroom or display area for bathroom products.,1
10763404,1159296,Are the utensils to the right of a refrigerator?,no,vanilla,"No, the utensils are not to the right of a refrigerator.",1
10763404,1159296,Are the utensils to the right of a refrigerator?,no,self_correct,"Corrected: The utensils are to the right of a stove, not a refrigerator.",1
10763404,1159296,Are the utensils to the right of a refrigerator?,no,cove_lite,"No, the utensils are not to the right of a refrigerator.",1
10763404,1159296,Are the utensils to the right of a refrigerator?,no,resample_lite,"No, the utensils are not to the right of a refrigerator.",1
19225232,2342134,Are there any fences or helmets?,no,vanilla,"No, there are no fences or helmets in the image.",1
19225232,2342134,Are there any fences or helmets?,no,self_correct,"No, there are no fences or helmets.",1
19225232,2342134,Are there any fences or helmets?,no,cove_lite,"No, there are no fences or helmets in the image.",1
19225232,2342134,Are there any fences or helmets?,no,resample_lite,"No, there are no fences or helmets in the image.",1
05686508,2344393,Is the car to the left of the other car green or silver?,silver,vanilla,The car to the left of the other car is silver.,1
05686508,2344393,Is the car to the left of the other car green or silver?,silver,self_correct,The car to the left of the other car is silver.,1
05686508,2344393,Is the car to the left of the other car green or silver?,silver,cove_lite,The car to the left of the other car is silver.,1
05686508,2344393,Is the car to the left of the other car green or silver?,silver,resample_lite,Silver,1
08709099,2378264,Is the man to the left of the boat wearing a jacket?,no,vanilla,"No, the man to the left of the boat is not wearing a jacket.",1
08709099,2378264,Is the man to the left of the boat wearing a jacket?,no,self_correct,"No, the man to the left of the boat is not wearing a jacket.",1
08709099,2378264,Is the man to the left of the boat wearing a jacket?,no,cove_lite,"No, the man to the left of the boat is not wearing a jacket.",1
08709099,2378264,Is the man to the left of the boat wearing a jacket?,no,resample_lite,"No, the man to the left of the boat is not wearing a jacket.",1
091039290,2386440,Is the blue truck to the left of a person?,no,vanilla,"No, the blue truck is not to the left of a person.",1
091039290,2386440,Is the blue truck to the left of a person?,no,self_correct,The blue truck is to the right of a person.,0
091039290,2386440,Is the blue truck to the left of a person?,no,cove_lite,The blue truck is to the right of a person.,0
091039290,2386440,Is the blue truck to the left of a person?,no,resample_lite,"No, the blue truck is not to the left of a person; it is to the right of them.",1
03581765,2406473,Is there either a small scooter or motorcycle?,no,vanilla,"Yes, there are small scooters or motorcycles in the image.",0
03581765,2406473,Is there either a small scooter or motorcycle?,no,self_correct,"No, there are no small scooters or motorcycles in the image.",1
03581765,2406473,Is there either a small scooter or motorcycle?,no,cove_lite,"Yes, there are small scooters or motorcycles in the image.",0
03581765,2406473,Is there either a small scooter or motorcycle?,no,resample_lite,"Yes, there are scooters in the image.",0
03322739,2358081,Is the man to the left or to the right of the spectator on the left?,right,vanilla,The man (the tennis player) is to the right of the spectator on the left.,1
03322739,2358081,Is the man to the left or to the right of the spectator on the left?,right,self_correct,The man is to the right of the spectator on the left.,1
03322739,2358081,Is the man to the left or to the right of the spectator on the left?,right,cove_lite,The man is to the right of the spectator on the left.,1
03322739,2358081,Is the man to the left or to the right of the spectator on the left?,right,resample_lite,The man (tennis player) is to the right of the spectator on the left.,1
10259915,2368742,Does the sidewalk seem to be red and dirty?,no,vanilla,The sidewalk seems to be red.,0
10259915,2368742,Does the sidewalk seem to be red and dirty?,no,self_correct,The sidewalk does not appear to be red and dirty.,1
10259915,2368742,Does the sidewalk seem to be red and dirty?,no,cove_lite,The sidewalk seems to be red.,0
10259915,2368742,Does the sidewalk seem to be red and dirty?,no,resample_lite,"No, the sidewalk does not seem to be red and dirty; it appears to be wet due to a flood, but there is no indication of dirt or red coloration on the visible part of the sidewalk.",1
0682915,2347146,Does the nose that looks black look round and small?,yes,vanilla,"Yes, the nose that looks black appears round, but it is not small.",1
0682915,2347146,Does the nose that looks black look round and small?,yes,self_correct,"No, the nose does not appear round or small.",0
0682915,2347146,Does the nose that looks black look round and small?,yes,cove_lite,"The nose is black, rounded, and not small.",0
0682915,2347146,Does the nose that looks black look round and small?,yes,resample_lite,"Yes, the nose that looks black appears to be round and not particularly small in comparison to the rest of the zebra's head.",1
13515619,2397987,What kind of furniture is to the left of the rug?,ottoman,vanilla,The furniture to the left of the rug is a red leather ottoman and a television on a stand.,1
13515619,2397987,What kind of furniture is to the left of the rug?,ottoman,self_correct,Corrected: The furniture to the left of the rug is a red leather ottoman and a television on a stand.,1
13515619,2397987,What kind of furniture is to the left of the rug?,ottoman,cove_lite,The furniture to the left of the rug is a red leather ottoman and a television on a stand.,1
13515619,2397987,What kind of furniture is to the left of the rug?,ottoman,resample_lite,The furniture to the left of the rug is a red leather ottoman.,1
17560215,2359451,Who wears shoes?,man,vanilla,"Most of the people on the platform appear to be wearing shoes, but without a clear view of all their feet, it is not possible to say definitively for every individual.",0
17560215,2359451,Who wears shoes?,man,self_correct,Most people on the platform appear to be wearing shoes.,0
17560215,2359451,Who wears shoes?,man,cove_lite,Most people on the platform appear to be wearing shoes.,0
17560215,2359451,Who wears shoes?,man,resample_lite,The people standing on the platform are wearing shoes.,0
1972311,2387777,Is this a lamb or a cow?,lamb,vanilla,This is a lamb.,1
1972311,2387777,Is this a lamb or a cow?,lamb,self_correct,This is a lamb.,1
1972311,2387777,Is this a lamb or a cow?,lamb,cove_lite,This is a lamb.,1
1972311,2387777,Is this a lamb or a cow?,lamb,resample_lite,This image depicts a sheep (the adult) and two lambs.,1
06146373,2390480,Is the toilet to the right of the food?,yes,vanilla,"There is no food in the image, so the question cannot be answered based on the provided information.",0
06146373,2390480,Is the toilet to the right of the food?,yes,self_correct,"No, the toilet is not to the right of the food.",0
06146373,2390480,Is the toilet to the right of the food?,yes,cove_lite,"No, the toilet is not to the right of the food.",0
06146373,2390480,Is the toilet to the right of the food?,yes,resample_lite,The question is not applicable as there is no food in the image to compare the toilet's position to.,0
00930300,2396634,Do the shorts look black or red?,black,vanilla,The shorts look black.,1
00930300,2396634,Do the shorts look black or red?,black,self_correct,The shorts look black.,1
00930300,2396634,Do the shorts look black or red?,black,cove_lite,The shorts look black.,1
00930300,2396634,Do the shorts look black or red?,black,resample_lite,The shorts look black.,1
12741575,2378292,Are there any salt shakers or batteries?,no,vanilla,"No, there are no salt shakers or batteries in the image.",1
12741575,2378292,Are there any salt shakers or batteries?,no,self_correct,No,1
12741575,2378292,Are there any salt shakers or batteries?,no,cove_lite,"No, there are no salt shakers or batteries in the image.",1
12741575,2378292,Are there any salt shakers or batteries?,no,resample_lite,"No, there are no salt shakers or batteries in the image.",1
09730771,2358122,What vehicle is the man in?,carriage,vanilla,The man is in a horse-drawn carriage.,1
09730771,2358122,What vehicle is the man in?,carriage,self_correct,The man is in a horse-drawn carriage.,1
09730771,2358122,What vehicle is the man in?,carriage,cove_lite,The man is in a horse-drawn carriage.,1
09730771,2358122,What vehicle is the man in?,carriage,resample_lite,The man is in a horse-drawn carriage.,1
04527826,2349159,Are both the cooking pot and the chair made of the same material?,yes,vanilla,"No, the cooking pot and the chair are not made of the same material.",0
04527826,2349159,Are both the cooking pot and the chair made of the same material?,yes,self_correct,No,0
04527826,2349159,Are both the cooking pot and the chair made of the same material?,yes,cove_lite,"Corrected Answer: Yes, both the cooking pot and the chair are made of different materials.",1
04527826,2349159,Are both the cooking pot and the chair made of the same material?,yes,resample_lite,"No, the cooking pot and the chair are not made of the same material.",0
11193931,2401803,Are the remote and the floor made of the same material?,no,vanilla,"No, the remote and the floor are not made of the same material.",1
11193931,2401803,Are the remote and the floor made of the same material?,no,self_correct,No,1
11193931,2401803,Are the remote and the floor made of the same material?,no,cove_lite,"No, the remote and the floor are not made of the same material.",1
11193931,2401803,Are the remote and the floor made of the same material?,no,resample_lite,"No, the remote and the floor are not made of the same material.",1
06328865,2367411,Is the green car in the bottom part or in the top of the picture?,bottom,vanilla,The green car is in the bottom part of the picture.,1
06328865,2367411,Is the green car in the bottom part or in the top of the picture?,bottom,self_correct,The green car is in the bottom part of the picture.,1
06328865,2367411,Is the green car in the bottom part or in the top of the picture?,bottom,cove_lite,The green car is in the bottom part of the picture.,1
06328865,2367411,Is the green car in the bottom part or in the top of the picture?,bottom,resample_lite,The green car is in the bottom part of the picture.,1
05410113,498329,Which side of the image is the television on?,left,vanilla,The television is on the left side of the image.,1
05410113,498329,Which side of the image is the television on?,left,self_correct,The television is on the left side of the image.,1
05410113,498329,Which side of the image is the television on?,left,cove_lite,The television is on the left side of the image.,1
05410113,498329,Which side of the image is the television on?,left,resample_lite,The television is on the left side of the image.,1
00650121,497937,What animal is on the chair on the right side of the picture?,cat,vanilla,The animal on the chair on the right side of the picture is a cat.,1
00650121,497937,What animal is on the chair on the right side of the picture?,cat,self_correct,The animal on the chair on the right side of the picture is a cat.,1
00650121,497937,What animal is on the chair on the right side of the picture?,cat,cove_lite,The animal on the chair on the right side of the picture is a cat.,1
00650121,497937,What animal is on the chair on the right side of the picture?,cat,resample_lite,The animal on the chair on the right side of the picture is a cat.,1
17949859,2362562,Is there any lettuce to the right of the carrot in the center of the image?,yes,vanilla,"Yes, there is lettuce to the right of the carrot in the center of the image.",1
17949859,2362562,Is there any lettuce to the right of the carrot in the center of the image?,yes,self_correct,"No, there is no lettuce to the right of the carrot in the center of the image.",0
17949859,2362562,Is there any lettuce to the right of the carrot in the center of the image?,yes,cove_lite,"Yes, there is lettuce to the right of the carrot in the center of the image.",1
17949859,2362562,Is there any lettuce to the right of the carrot in the center of the image?,yes,resample_lite,"Yes, there appears to be lettuce to the right of the carrot in the center of the image.",1
14669854,2337103,Are there controllers or beds?,no,vanilla,"No, there are no controllers or beds in the image.",1
14669854,2337103,Are there controllers or beds?,no,self_correct,"No, there are no controllers or beds in the image.",1
14669854,2337103,Are there controllers or beds?,no,cove_lite,"No, there are no controllers or beds in the image.",1
14669854,2337103,Are there controllers or beds?,no,resample_lite,"No, there are no controllers or beds in the image.",1
05863853,2346071,Does the man in front of the end table appear to be standing?,no,vanilla,"Yes, the man in front of the end table appears to be standing.",0
05863853,2346071,Does the man in front of the end table appear to be standing?,no,self_correct,"No, the man in front of the end table does not appear to be standing.",1
05863853,2346071,Does the man in front of the end table appear to be standing?,no,cove_lite,"Yes, the man in front of the end table appears to be standing.",0
05863853,2346071,Does the man in front of the end table appear to be standing?,no,resample_lite,"Yes, the man in front of the end table appears to be standing.",0
133485,2409219,Are there any chairs to the right of the young child?,no,vanilla,"No, there are no chairs to the right of the young child.",1
133485,2409219,Are there any chairs to the right of the young child?,no,self_correct,No,1
133485,2409219,Are there any chairs to the right of the young child?,no,cove_lite,"No, there are no chairs to the right of the young child.",1
133485,2409219,Are there any chairs to the right of the young child?,no,resample_lite,"No, there are no chairs to the right of the young child.",1
19954280,2406002,What vegetables are on the plate?,tomatoes,vanilla,"The vegetables on the plate are broccoli, cherry tomatoes, celery, and carrot sticks.",1
19954280,2406002,What vegetables are on the plate?,tomatoes,self_correct,"Corrected: The vegetables on the plate are broccoli, cherry tomatoes, celery, and carrot sticks.",1
19954280,2406002,What vegetables are on the plate?,tomatoes,cove_lite,"The vegetables on the plate are broccoli, cherry tomatoes, celery, and carrot sticks.",1
19954280,2406002,What vegetables are on the plate?,tomatoes,resample_lite,"The vegetables on the plate are broccoli, carrot sticks, celery sticks, and cherry tomatoes.",1
08894679,2360703,Are there any boxes beside the device to the left of the mat?,yes,vanilla,"Yes, there appear to be boxes beside the television to the left of the mat.",1
08894679,2360703,Are there any boxes beside the device to the left of the mat?,yes,self_correct,"No, there are no boxes beside the device to the left of the mat.",0
08894679,2360703,Are there any boxes beside the device to the left of the mat?,yes,cove_lite,"No, there are no boxes beside the television to the left of the mat.",0
08894679,2360703,Are there any boxes beside the device to the left of the mat?,yes,resample_lite,"Yes, there appear to be boxes beside the device to the left of the mat.",1
18229012,2402333,What is located on top of the white table?,lamp,vanilla,The white table has a plant and a few other small objects on top of it.,0
18229012,2402333,What is located on top of the white table?,lamp,self_correct,The white table has a plant and a few other small objects on top of it.,0
18229012,2402333,What is located on top of the white table?,lamp,cove_lite,The white table has a plant and a few other small objects on top of it.,0
18229012,2402333,What is located on top of the white table?,lamp,resample_lite,The white table has a potted plant on top of it.,0
17459063,2413541,Which place is it?,airport,vanilla,"The image appears to be taken at an airport, but the exact location cannot be identified from the image provided.",1
17459063,2413541,Which place is it?,airport,self_correct,Airport runway,1
17459063,2413541,Which place is it?,airport,cove_lite,"The image appears to be taken at an airport, but the exact location cannot be identified from the image provided.",1
17459063,2413541,Which place is it?,airport,resample_lite,"The location appears to be an airport where Air Transat operates, but the specific airport cannot be identified from the image alone.",1
03212804,2327623,What does the person wear?,shorts,vanilla,The person wears swim trunks.,0
03212804,2327623,What does the person wear?,shorts,self_correct,The person wears swim trunks.,0
03212804,2327623,What does the person wear?,shorts,cove_lite,The person wears swim trunks.,0
03212804,2327623,What does the person wear?,shorts,resample_lite,The person is wearing swim trunks.,0
13136918,2406090,Is the sky both blue and overcast?,no,vanilla,"No, the sky is not both blue and overcast.",1
13136918,2406090,Is the sky both blue and overcast?,no,self_correct,The sky is blue but not overcast.,1
13136918,2406090,Is the sky both blue and overcast?,no,cove_lite,The sky is blue but not overcast.,1
13136918,2406090,Is the sky both blue and overcast?,no,resample_lite,"Yes, the sky appears to be both blue and overcast.",0
17853007,2337616,Is there any horse or sheep that is not gray?,no,vanilla,"No, there is no horse or sheep that is not gray in the image.",1
17853007,2337616,Is there any horse or sheep that is not gray?,no,self_correct,"No, there is no horse or sheep that is not gray in the image.",1
17853007,2337616,Is there any horse or sheep that is not gray?,no,cove_lite,"No, there is no horse or sheep that is not gray in the image.",1
17853007,2337616,Is there any horse or sheep that is not gray?,no,resample_lite,"No, there is no horse or sheep that is not gray.",1
09928108,2344757,On which side is the umpire?,right,vanilla,"The umpire is on the right side of the image, relative to the batter.",1
09928108,2344757,On which side is the umpire?,right,self_correct,"The umpire is on the right side of the image, relative to the batter.",1
09928108,2344757,On which side is the umpire?,right,cove_lite,"The umpire is on the right side of the image, relative to the batter.",1
09928108,2344757,On which side is the umpire?,right,resample_lite,The umpire is on the right side of the image relative to the viewer.,1
05459303,713360,Who is carrying the bag?,lady,vanilla,Multiple people are carrying bags in the image.,0
05459303,713360,Who is carrying the bag?,lady,self_correct,Multiple people are carrying bags in the image.,0
05459303,713360,Who is carrying the bag?,lady,cove_lite,Multiple people are carrying bags in the image.,0
05459303,713360,Who is carrying the bag?,lady,resample_lite,"Based on the observations, it is not possible to definitively identify who is carrying the bag due to the motion blur and distance.",0
